speaker,content
主席黄肇輝議員,王局長、各科室主管及新聞媒體好朋友大家早，今天是 5 月 16 日星期二，議程為保安部門交通局業務報告及質詢，上午開會時間到 12 時 30 分，下午 1 時 30 分到 5 時30 分，相關書面資料已放置各位議員桌上，請參閱。
主席黄肇輝議員,今天沒有請假的官員，接下來請議事人員宣讀質詢辦法。
主席黄肇輝議員,議事人員：（略）
主席黄肇輝議員,依照議事日程表，上午質詢時間到 12 時 30 分結束，等一下預計在 11 時休息 10 分鐘，以上請問有無意見？請王宣貿議員。
王宣貿議員,我做個會議詢問，今天主要是交通局的業務報告，先前發生了小妹妹的憾事，我想在業務報告前是不是能夠跟各位官員一起先默哀 1 分鐘，請主席裁示。
主席黄肇輝議員,因為遇到這樣的事情，而且特別是在我們臺南市發生，那現在就請在座人員全體起立一起默哀 1 分鐘。
主席黄肇輝議員,好，請坐，請問還有沒有相關的意見？若沒有的話，接下來就請局長進行業務報告，報告前請先介紹各科室的主管，有請交通局王局長。
交通局王銘德局長,（略）
主席黄肇輝議員,謝謝王局長，現在開始進行質詢，請大家登記。
主席黄肇輝議員,先請周嘉韋議員，質詢時間 5 分鐘。
周嘉韋議員,局長，我看今天應該有很多大家都很想問的議題要討論，第一個，我想先說最近大家一直很熱門的議題，就是行人要更安全的這件事情，5 月 14 日有一個行人安全大富翁活動，全臺行人禮讓路口串聯，在忠義路、成功路口，我想知道交通局知不知道這件事？
交通局王銘德局長,知道。
周嘉韋議員,交通局有派人一起去參與嗎？
交通局王銘德局長,沒有。
周嘉韋議員,交通局知道那個時候民眾在現場的訴求是什麼嗎？
交通局王銘德局長,知道。
周嘉韋議員,那知道的話，為什麼沒有派人去參與？
交通局王銘德局長,我想我們尊重這樣子表達意見的方式，當然我們對於這個事故發生之後深切檢討，那對於後續如何積極改善這個是我們……
周嘉韋議員,我覺得交通議題不是沒有錯就沒事，大家應該要努力做得更好，所以當今天民眾做這樣串聯活動的時候，就像我那天去參與，也沒有一定要去說我是市議員我能怎麼樣之類的話，但是我覺得可以到現場聽聽大家的意見、聽聽大家的想法，交通局也應該適時的，不一定要局長去到現場，我覺得科長、股長或只要有人去，然後跟主辦單位坐下來，好好聽聽看民眾表達的方式及想法，我覺得都是理性可以討論的。
周嘉韋議員,我有幾個覺得應該要處理的問題，第一，民眾的禮讓教育應該要更落實，不管是汽車、機車或是行人，我覺得禮讓教育這件事情在臺灣的交通現況或是臺南的交通現況都是不足的，其實我們很常看到當行人要過馬路，在經過時，車子就撞下去了，車子若是搶快過去的話就撞上了。但是更重要的做法是，像新加坡、紐西蘭、日本只要看到有行人要過馬路，車子就會先停下來讓行人過去，所以我覺得教育的落實，不管是進到校園或實地考照的地方，都是交通局未來責無旁貸的一部分，這是第一個禮讓教育的部分。
周嘉韋議員,第二，我覺得交通號誌的設計原理必須要重新省思，其實我很常遇到一些號誌問題或是標線問題，在跟交通局討論的時候，交通局最常告訴我的就是「若是這樣做的話，交通會不順暢」，尤其是在處理紅綠燈問題的時候，交通局都會跟我說「若是我們這樣做的話，交通會打結」，所以我們把交通順暢這件事情放在很首要之位，但是我覺得這一次的事件，我們更重要的反思是交通安全是不是要優先於交通順暢？先有安全、先能回家，我們才能講交通順不順暢，所以我覺得這一部分的本位思考，是不是未來我們要更著重於交通安全要優先於交通順暢？因為我其實真的很常在跟你們討論的時候，順暢是一個很重要的點，當然我知道臺南路小，所以塞車是一個很大的困擾，但我覺得這個問題不只讓交通局省思，也讓民眾省思，其實安全大過於順暢。
