speaker,content
主席郭鴻儀議員,臺南市政府黃偉哲市長、方秘書長、各局處首長、新聞媒體各位女士、先生、本會各位同仁，以及電視機前關心臺南市政的朋友，大家早安、大家好！今天是 6 月 14 日星期三，也是本次定期會第 17 次會，上午議程為市政總質詢，議員質詢的順序為吳通龍議員、曾培雅議員、趙昆原議員，首先請吳通龍議員質詢，時間 50 分鐘，吳議員請。
吳通龍議員,"謝謝主席。市長、秘書長、各局處首長以及媒體好朋友，大家早安、大家好，今天是第 4 屆第 1 次的市政總質詢，本席今日有些意見要與市政府及市長相互研討，我相信我所表達的都是百姓的心聲，身為民意代表最重要的就是反映百姓的心聲，並作為地方與政府之間溝通的橋梁。第一個是南 120 線無名橋的事情，我昨天還有接到陳情並且要去抗議，局長，這部分我相信應該是我們的疏忽，這案件原本自始自終就都是由我提出爭取的，爭取到現在終於要在今年度開始動工，這也很感謝市長，我相信地方上也很清楚，感謝市長體恤地方上的需求，總經費預估約 1 億 8,000 多萬元，目前已經發包且正在施工中，現在橋墩也都設置好了，但百姓為什麼還要去抗議?因為他們到現在都還沒有領到土地的徵收款，請問臺南市政府到底出了什麼問題?我一直阻止他們不要去抗議，也有說市政府不會倒閉，但是他們可能擔心工程完成之後不會取得徵收的費用，我是跟他們說臺南市政府既然已經有給予承諾了，怎麼可能還會發生這樣的事情，但是有些百姓是無知的，有時甚至也會互相亂傳謠言，所以才導致百姓要來抗議。局長，這個問題我希望你能跟所有的地主澄清一下，之前百姓跟我反映的時候，我就已經有跟你們說過，希望能開個說明會跟地方說明清楚，為什麼原本預計去年 12 月及今年 6 月要給與的徵收款，至今都還沒有發放?難道臺南市政府真的有窮到發不出土地的徵收款嗎?我相信並不是這樣的，我做了 10 幾年的議員，也沒有發生過這樣的事情。所以現階段我希望你能說明到底發生了什麼問題，甚至在約 1 個月前也跟你們說過，希望能開個說明會跟地方說明清楚，這些我都有說過，但是到目前為止都沒有任何消息，昨天都還有人跟我反映要去抗議，所以希望你能說明一下到底發生了什麼問題，讓所有的里民了解，好嗎?不要讓原本的好意變成壞意，市長好不容易答應這工程，而且還花了 1 億 8,000 多萬元，結果現在百姓卻要去抗議，聽到了之後真的覺得很心痛。"
工務局蘇金安局長,徵收的時候一般都是先協議價購，這案件協議價購的比例大概是 8 成，剩下的 2 成因為價格沒有談妥，所以要用徵收的方式，而且一般不會等到全部都徵收完成才進行施工，對於已經完成協議價購的部分，我們就會先施作，當然對於沒有徵收的部分，就會先跳過，而這個徵收的部分我們預估年底就會完成手續，因為還要提報到內政部，大概是這樣子的情況，那你說的可能就是指徵收的部分。
吳通龍議員,從我身為議員到現在已經將近 20 年，這期間從沒看過在進行開路工程中，百姓因為沒有領到徵收款而要去抗議的情形，我從來沒有遇過。
工務局蘇金安局長,這部分我們再來了解一下。
吳通龍議員,對於你剛剛所說的理由，我都能接受，甚至我只希望承辦單位能跟里民說明清楚就好，我的要求只是這個樣子而已，但是你們卻都沒有任何動作，像這樣是不是應該要負起責任。
工務局蘇金安局長,這部分我們會改進。
吳通龍議員,這是不應該發生的事情，都已經提醒你們一定要跟所有人說明清楚，比如說你們預計明年何時發放徵收款，這些問題也都要跟地方說明清楚，難道不是這樣嗎?為什麼不去做呢?為什麼要背這種黑鍋?這是很簡單的事情，並不是很困難，好嗎?
工務局蘇金安局長,好。
吳通龍議員,又不是要你們去跟中央爭取 10 億元、20 億元，你們沒辦法做到。現在是都已經開始施作，預算也已經編列，所以我相信並不是這樣的問題。
工務局蘇金安局長,不會說沒有錢發放徵收款。
吳通龍議員,甚至有些人說他們就是需要錢，我是跟他們說政府又不會倒閉，哪有差這些時間。
工務局蘇金安局長,只是手續比較慢而已。
吳通龍議員,但是他們說既然會有這筆徵收款，就有使用這筆款項的預算，但是你們卻遲遲沒有發放下來，所以大家就會開始心急，就是這個樣子的情況，你們了解嗎?
工務局蘇金安局長,是。
吳通龍議員,有關六甲區的西側外環道工程，已經停頓了很久，到底目前的狀況如何?
工務局蘇金安局長,第一期及第二期都已經完工了，第三期因為遺址文資問題的關係，但這部分也已經解決了，所以大約 11 月底就能完工。
吳通龍議員,速度要再加快。我一直在說的，文化局局長如果遇到文資問題的話，處理速度應該要加快，不然都會延宕到工程的時間，我覺得這樣不是辦法。
文化局謝仕淵局長,我知道。
吳通龍議員,因為總不能路開闢到一半就不做了，有可能嗎?這也是不可能，因為已經花費這麼多的經費，所以你們文資的物品如果需要開挖的話，應該要儘速，以最快的速度開挖取出來。
文化局謝仕淵局長,有，5 月 12 日議員在工作報告中提出這個問題之後，就有去了解狀況，也希望他們能加快速度。
吳通龍議員,不要常常因為有學者或記者要來做審查的因素，我覺得這都不是理由，因為是政府單位才會這樣遵守，今天若是行政院農業委員會農田水利署的話，還會遵守嗎?可能連理都不會理你們，要進行水溝工程就直接開挖，你們也不能拿它們怎麼辦，不然就去告它們，所以不要因為這樣的事情而延宕，導致工程時間一拖再拖，好嗎?
文化局謝仕淵局長,好。
吳通龍議員,謝謝。局長，第三期工程在 11 月底完工後，那第四期預計要開闢哪一段?
工務局蘇金安局長,第四期正在規劃中，這部分的規劃費也是由內政部營建署補助，待規劃完成後再繼續爭取經費。
吳通龍議員,當然這筆經費都是由內政部營建署補助的，這是無庸置疑的，只是第四期工程的部分是不是能讓其通到南 114 線，就是二鎮、角秀附近的南 114 線。
工務局蘇金安局長,要進入官田工業區的那條道路，我知道。
吳通龍議員,若是整個串聯起來的話，那這邊的人就能先通行，也就是從二鎮工業區方向過來的車子就不用再進入烏山頭的村庄裡面，因為這裡都是大型車在行駛，所以為了安全起見，就直接讓他們接到這一條道路就好，所以第四期的工程一定要先將這區塊連貫起來，好嗎?
工務局蘇金安局長,是。
吳通龍議員,第四期工程要趕快做，我知道你們有很多工程要做。
工務局蘇金安局長,規劃完成後，就會提報到內政部營建署。
