speaker,content
主席沈震東議員,目前 Ingay Tali 穎艾達利議員還有郭清華議員就座了，議會的出席人數已達法定人數，本席宣布開會。市府觀旅局林代理局長、文化局謝局長、美術館林館長及各科室主管、新聞媒體女士先生、本會同仁大家早安，今天是 5 月 12 日星期五，本日議程是由建設部門觀光旅遊局、文化局(含臺南市美術館營運狀況)進行業務質詢及報告，向大會報告，今日沒有請假的官員，現在進行業務報告，依序由觀光旅遊局林代理局長、文化局謝局長及美術館林館長分別進行業務報告，報告前請先介紹各科室主管，首先請觀光旅遊局林代理局長報告。
觀光旅遊局林國華代理局長,（略）
主席沈震東議員,現在請文化局謝局長。
文化局謝仕淵局長,（略）
主席沈震東議員,現在請美術館林館長。
主席沈震東議員,美術館林館長秋芳：
主席沈震東議員,（略）
主席沈震東議員,謝謝文化局、觀光旅遊局，還有美術館林館長的詳細報告，現在觀光旅遊局、文化局及美術館的報告已經完成，現在進行業務質詢，請議事人員宣讀本會議員質詢的辦法。
主席沈震東議員,議事人員：
主席沈震東議員,依據本會議員質詢辦法第 3 條第 2 項第 2 款規定，業務質詢時各該委員會議員優先第一輪質詢，時間均為五分鐘，第二輪則不分委員會，依議員登記順序質詢，該委員會議員之質詢時間為五分鐘，非該委員會議員質詢時間為三分鐘；如該委員會議員於第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為五分鐘。第三輪以後，依登記順序每一位議員質詢時間均為五分鐘。議員同仁每輪次發言完畢不再延長。
主席沈震東議員,好，今天上午的時間因為報告比較久一點，所以中場沒有休息，直接到 12 點半，這樣有沒有意見？應該沒有意見。各位議員沒有意見，現在就登記發言，第一位請Ingay Tali 穎艾達利議員發言。
Ingay Tali 穎艾達利議員,謝謝主席。不好意思，美術館林館長。館長，不好意思，我不知道是不是我耳朵有問題，剛剛有幾個地方聽您報告的時候有一點小質疑想跟您請教一下，第一個，您在報告當中提到的少數民族是指什麼意思？
Ingay Tali 穎艾達利議員,美術館林館長秋芳：
Ingay Tali 穎艾達利議員,指原住民。
Ingay Tali 穎艾達利議員,容我冒昧跟館長提醒，在臺灣這邊政治正確的用語，會直接講原住民族。
Ingay Tali 穎艾達利議員,美術館林館長秋芳：
Ingay Tali 穎艾達利議員,原住民族。
Ingay Tali 穎艾達利議員,少數民族在普遍通認上，是中國政府使用的方式，這點請您注意。
Ingay Tali 穎艾達利議員,美術館林館長秋芳：
Ingay Tali 穎艾達利議員,是，好的。
