speaker,content
主席蔡淑惠議員,各位同仁大家早，今天是財經部門業務報告-財政稅務局、經發局、主計處，現在出席人數已經達到法定開會人數，本席宣布開會。市府財政稅務局陳局長、經發局林局長、主計處方處長、媒體各位好朋友、本會各位同仁及鄉親朋友，大家早，今天是 112 年 5月 5 日星期五，上午、下午進行議程是財經部門財政稅務局、經濟發展局、主計處的業務報告及質詢，現在先請財政稅務局陳局長，至報告台進行業務報告，進行報告前，請局長先行介紹各科室主管。各位同仁，因為本席感冒沒有聲音，所以我請 Ingay Tali 穎艾達利議員先來代理主席，各位同仁有沒有意見？拜託 Ingay Tali 穎艾達利議員，謝謝。
主席（Ingay Tali 穎艾達利）議員,請財政稅務局陳局長先報告，謝謝。
主席（Ingay Tali 穎艾達利）議員,業務報告：略。
主席（Ingay Tali 穎艾達利）議員,請經濟發展局林局長報告，謝謝。
主席（Ingay Tali 穎艾達利）議員,業務報告：略。
主席（Ingay Tali 穎艾達利）議員,請主計處方處長報告，謝謝。
主席（Ingay Tali 穎艾達利）議員,業務報告：略。
主席（Ingay Tali 穎艾達利）議員,謝謝方處長的報告，3 個單位的業務報告都已經完畢，現在開始進行議員的質詢，請議事人員朗讀質詢辦法。
主席（Ingay Tali 穎艾達利）議員,議事人員宣讀質詢辦法：：
主席（Ingay Tali 穎艾達利）議員,依據本會議員質詢辦法第 3 條第二項第二款規定，財經委員會議員優先第一輪質詢時間為 5 分鐘，第二輪則不分委員會依議員登記順序質詢，財經委員會議員之質詢時間為 5 分鐘，非財經委員會議員質詢時間為 3 分鐘，如財經委員會議員於第二輪質詢中時到場，主席應讓該議員優先於下一位質詢，時間為 5 分鐘，第 3 輪以後，依登記順序每一位議員，質詢時間均為 5 分鐘。
主席（Ingay Tali 穎艾達利）議員,謝謝，請問在場的同仁，對於規則有沒有意見，沒有意見，接下來請同仁開始登記。
主席（Ingay Tali 穎艾達利）議員,現在請本委員會的王家貞議員進行第一次的發言，時間 5 分鐘。
王家貞議員,經發局局長，你報告寫得非常漂亮，臺南成為國內外投資焦點，匯聚南漂人才的永續城市，志氣宏遠，但是你知不知道現在臺南成為什麼樣的焦點？成為光電、黑金的焦點，我想請教一下，我知道經發局長很不容易，過去陳局長留下了歷史的污點，個人的道德操守也罷，或者相關的案件對於整個臺南市府的傷害，對於臺南市聲譽的傷害，都讓我們實在是痛心疾首，這邊要問一下經發局，你知不知道？最近臺南市光電之外，大旺夜市的沸沸揚揚，都讓我們非常的難過，還有一個重大的跟經發局也有關係的事項，是民眾不斷地希望藉著我們的角色來向市府請教，局長，你知道嗎？跟光電有關，你知道是什麼嗎？你連結得到嗎？你那麼優秀的才幹，也具備專業的能力，你知道是什麼嗎？
王家貞議員,你知道臺南已經好幾百天沒有下雨了，對不對？是不是？你覺得有沒有下雨，跟滿坑滿谷、滿山滿地的光電板，把有用的田也罷、水也罷都佈滿了光電板，你告訴我們一下，有沒有做過什麼專業研究，光電板的滿山滿谷，電還沒有出來，已經讓我們多一個太陽了，有沒有一些相關的訊息？還是你沒有？
經濟發展局林榮川局長,向議座報告，今天經濟部針對這個議題有做澄清……。
王家貞議員,經濟部當然要澄清啊！他叫做民進黨的經濟部！他當然要澄清，可是我這邊也要跟你報告一下，我這邊一個最新的，也是知名評論人士的社論，他提到已經有研究展示，因為光電佈滿各地方，造成了溫度提升 3 度，還有你有沒有看到最新的一個新聞，今天的一個新聞，昨天你知道有多熱嗎？
經濟發展局林榮川局長,38 度。
王家貞議員,38 度，你知道最熱的是哪裡嗎？南化，局長，不是說是你的錯，但是針對大家重大的質疑，經發局有沒有做出什麼樣的研究？來，我們先看一下，這也是民眾傳給我們的，看一下，(影片播放)你看這是吳子嘉好像過去也不是所謂的藍軍不藍軍的，知名的政論家，他說光電的黑錢在那邊流來流去，過去對地方事務非常熟悉的，現在仍然熟悉的李議長。局長，你有沒有什麼話可以針對本席的操心，給我們一些更積極正面的回應，譬如你斬釘截鐵的告訴我們，臺南沒有雨，我相信，不是我相信，市長已經去求了嘛！希望雨下到臺南嘛！昨天熱成這個樣子，有沒有做研究？還是經濟部做了，說沒有，我沒有在胡說八道，要不要回應我一下，好嗎？
經濟發展局林榮川局長,向議座報告，因為我本身也是學土木工程的，之前還沒有到這裡之前，我一直是做氣象預報類似工作，所以剛談到的，目前我的了解是沒有這方面的研究，但是議座有講到確實有研究出來，太陽光電跟降雨的關係，這部份我會再去了解，但是就實際上來講的話，是因為鋒面還沒到的問題。
王家貞議員,局長，我說過，最新的……。
主席（Ingay Tali 穎艾達利）議員,謝謝王家貞議員的發言，我們接下來請吳通龍議員，吳議員，請。
吳通龍議員,"謝謝主席，還有我們的三位局處長，我要請教財稅局陳局長，目前民眾最關心的是65 歲以上的健保費，還有鄰長 2,000 元每個月的費用，我在外面一直遇到民眾反映這個問題，為什麼六都只有臺南市沒有，當然市長曾經一直說我們的財政有問題嘛！我們沒錢當然沒辦法做嘛！目前我們是最窮的嗎?我想請教目前我們是最窮的嗎？"
財政稅務局陳柏誠局長,自籌財源對比別市的確是最低的，在六都裡面相比的話，自籌財源最低。
吳通龍議員,全六都裡臺南市最窮。
財政稅務局陳柏誠局長,對，因為自籌財源，也就是自己透過一些地方稅課收入這樣籌來的財源大概只佔 33％而已，佔整個歲入 33％。
吳通龍議員,我請教你一個問題，目前臺南市的負債是多少？
財政稅務局陳柏誠局長,目前整體負債的話是 500 多億。
吳通龍議員,505 億，對不對？請教一下，目前高雄的負擔是多少？隔壁縣市啦！
財政稅務局陳柏誠局長,"它應該 2,000 多。"
吳通龍議員,"2,387 億，他的負債是我們的幾倍，你知道嗎？4.7 倍，他的人口數是我們的 1.47倍，如果用這樣平均算起來的話，我們負債才 500 億，他是我們的 4.7 倍，他的人口是我們的 1.47 倍，為什麼他們要發我們不要發？照理說，如果要認真來說，他們的負債只能 750 億而已，人家 2,387 億的負債，我們 65 歲以上的健保費應該早就該發了，我們一直拖拖拖，拖到今年 7 月 1 日才要發，對不對？所有鄰長 2,000 元的補助費，也是六都同樣都有，唯有臺南市沒有，所以在外面遇到里民時都在問我一句話，到底臺南市的財政有多差？"
財政稅務局陳柏誠局長,"向議座報告，舉債需要還的，而且舉債是有上限的，所以我剛剛在報告裡面有提到，每年舉債大概只能舉 120 億左右，舉債上限目前的空間大概 1,000 億，但是未來還有非常多的資本門建設要做，其他縣市政府，我們不作評論，但是黃市長一向都認為資金應該應用在經濟發展，或者是跟市民的公共建設有關……。"
吳通龍議員,我知道，我要說的是高雄難道沒有在發展經濟嗎？還是有的吧！
財政稅務局陳柏誠局長,這我們不評論，但是如果一個縣市政府債務接近舉債上限，他一些政策的推動就會開始產生停滯。
吳通龍議員,"我告訴你，局長，臺南像剛說的還有 1,000 多億才到舉債上限。"
財政稅務局陳柏誠局長,不過現在利息都很高，所以要注意這個問題。
吳通龍議員,人家都沒在怕，你是在怕什麼？我看你都是跟市長說這些議題，讓他都怕到不敢發，你知道嗎？大膽跟他講，別人在做有辦法做，我們就有辦法做，這很簡單的道理嘛！為什麼人家都在發我們都沒辦法發？臺南市每一個議員走到哪都會收到這種評論，這是我們身為一個民意代表的無奈，民眾都會說當市議員都沒有在幫忙爭取，別的縣市、六都都有在做，為什麼唯獨臺南市沒有？我相信這個心聲不只有我，臺南市 57 位議員都會遇到。
財政稅務局陳柏誠局長,我們會審慎的評估好財政以後再做。
吳通龍議員,好不好，你不要常常跟市長說舉債上限到時候都沒辦法做其他的工作，不要這樣說，好不好？要鼓勵他別人能做我們就有辦法做，好不好？人家在發我們就有辦法發，我相信今天 65 歲以上的健保費，你現在說要發，就要有錢發啦！你說不行就沒錢發，對不對？
吳通龍議員,謝謝，請坐。經發局長，剛剛你有提到柳科三期，對不對？官田區工業區早就不夠用了，有辦法往南或往北做第二期嗎？有這個機會嗎?我曾經遇到廠商都跟我反映官田工業區不夠使用了，設計一下，好不好？想辦法往南往北……。
主席（Ingay Tali 穎艾達利）議員,謝謝吳通龍議員，接下來請王宣貿議員，王議員進行第一輪次發言。
王宣貿議員,謝謝主席。看了各個科室各局處的報告，數字都非常的漂亮，所以本席其實有點擔心，就像剛剛吳通龍議員所說的負債，其實我們現在負債 505 億，在過去黃市長這樣努力的還債了 200 多億嗎？對吧？
財政稅務局陳柏誠局長,對，從黃市長上任以來到現在，已經還債 214 億。
王宣貿議員,去年的數字，還有剩餘 28 點多億。
財政稅務局陳柏誠局長,29 億。
王宣貿議員,29 億嘛！我想因為市長宣布 65 歲以上免健保，今年的 14 億應該是有機會挪用出來，明年呢？明年 28 億是否我們的財政上可以支撐？
財政稅務局陳柏誠局長,我們就是準備好了才推出了這樣的政策。
王宣貿議員,所以也代表明年的 ok 了嘛？不會排擠其他預算嗎？
財政稅務局陳柏誠局長,所有的預算都是要看整體最後評估的結果，因為臺南市每年在編預算的時候，財政缺口在一開始都是達到將近 60 到 80 億以上，所以一定要做所謂先後順序的調整。
王宣貿議員,只是提醒，這政策很好，希望能繼續推動，但是也必須要提醒大家就是財政上一定要再注意，讓這政策可以繼續去推動，謝謝，謝謝局長。剛剛經發局也有提到柳科三期工業區的開發。目前柳科三期的進度是？
