speaker,content
主席,（杜議員素吟）
主席,現在開始開會！本會各位同仁、市府警察局廖局長、交通局王局長所率領的主管，以及新聞媒體好朋友，大家早，今天是9 月28 日星期四，議程為保安部門警察局、交通局的業務報告及質詢，上午開會時間至12 點30 分，下午從1 點30 分至5 點30 分，相關的書面資料已經都放在各位議員同事的桌上，請參閱。警察局人事主任洪嘉薇當選112年全國模範警察，因配合內政部警政署出國參訪行程，所以請假，今天的職務由專員李志順代理，接著請議事人員宣讀質詢辦法。
主席,議事人員：
主席,依據本會議員質詢辦法第三條第二項第二款規定，業務質詢時各該委員會議員優先於第一輪質詢，時間均為5 分鐘。第二輪則不分委員會，依議員登記順序質詢，該委員會議員之質詢時間為5 分鐘，非該委員會議員之質詢時間為3 分鐘，如該委員會議員於第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘。第三輪以後依登記順序，每位議員質詢時間均為5 分鐘。
主席,（杜議員素吟）
主席,我們11 點時休息10 分鐘，以上若無意見，請兩局進行業務報告，請局長先介紹各科室主管，首先請警察局廖局長報告，廖局長請。
警察局廖宗山局長,（略）
警察局廖宗山局長,。
主席,（杜議員素吟）
主席,好，請廖局長回座，請交通局王局長來介紹，但是請簡短報告，問的人可能會有很多問題，謝謝你，王局長請。
交通局王銘德局長,（略）
交通局王銘德局長,。
主席,（杜議員素吟）
主席,感謝王局長的報告，你們的工作真的太多了，你很簡短地把它說完，我們的議員手上都有資料，第一位發言者為陳怡珍議員，時間5 分鐘，請。
陳怡珍議員,謝謝主席，在局長的報告裡面看到體3 的地下停車場興建工程於109 年2 月27 日開工，完成了97%多，這個案子預計112 年11 月完工，這個案子也得到2020 年國家卓越建設獎最佳規劃設計獎金質獎，有得到獎的肯定，但得獎之餘更應該如期、加速完工。
陳怡珍議員,其實在新聞上可以看到，應該預計在今年第一季完工，但現在看起來11 月才可以完工，這是確定的時間點了嗎？
交通局王銘德局長,跟議員報告，過程中因為遇到疫情，廠商在人力調配上確實有困難，當然也因為一些雨天的因素。目前我們跟廠商討論，市府也希望廠商要分批驗收，所以我們會先請他先提報地下停車場的竣工，9 月24 日他的工期已經到了，他也提報竣工，所以我們會先第4屆 第2次定期會 市政府業務報告及質詢  1辦理地下停車場的驗收。因為它是地下停車場，完工後地面層要復舊，地面層未來也規劃了一些共融式遊具及廣場設施。
陳怡珍議員,是，體育設施。
交通局王銘德局長,所以他也同時加速辦理，但他確實已經逾期了，我們會依合約處理。期待11 月地下停車場先驗收完成，開放使用的同時，希望地面層可以完成、同步啟用，這是我們目前的規劃。
陳怡珍議員,11 月確定停車場開放使用？
交通局王銘德局長,目前停車場已經提報竣工，我們會加速驗工。
陳怡珍議員,要去驗收。
交通局王銘德局長,因為後面還有使照的取得及消防檢查。
陳怡珍議員,所以停車場跟上面都是11 月同時完成？
交通局王銘德局長,我們期待上面趕快加速，停車場已經提報竣工，後面會辦理驗收及使照、消防檢查。
陳怡珍議員,所以11 月確定停車場就可以開放使用？
交通局王銘德局長,我們目前規劃兩個月把驗收、使照及消防檢查完成，我們會加速辦理。
陳怡珍議員,好，不管是局長講的疫情或是天候的影響，其實所有的工程都遇到了，但是這個工程讓大家覺得真的延宕得特別嚴重。
交通局王銘德局長,不過它的量體也非常大。
陳怡珍議員,大家對附近的停車以及上面的空間都很期待，大家都看到當時3D 的模擬圖，其實是非常漂亮的。大家也很期待未來上面的共融遊具、公園及體育設施，但是時間真的拖太久了，所以11 月確定停車場可以用，上面也要同步開放？
交通局王銘德局長,這是我們目前的規劃，也督促廠商要完成。
陳怡珍議員,有把握嗎？聽起來好像沒什麼把握，但是起碼11 月一定會開放停車場使用？
交通局王銘德局長,是。
交通局王銘德局長,第4屆 第2次定期會 市政府業務報告及質詢  1陳議員怡珍：
交通局王銘德局長,我想地面上11 月一定也要同步開放。
交通局王銘德局長,是，希望。
陳怡珍議員,不過如果上面還在施作，下面在停車，其實整個使用上也會有很大的影響。
交通局王銘德局長,因為地面層的工程難度比地下少很多，現在即使沒辦法全面開放，不能開放的部分我們圈圍，其他大部分可以開放的，我們就開放。
陳怡珍議員,好，這部分請交通局務必…說是有得獎，但是也有點小小的諷刺，到現在還沒看到整個實體的呈現，卻已經得獎了，整個長什麼樣，其實也不知道，到底怎麼使用，其實也不知道。
交通局王銘德局長,我們的規劃其實是受肯定的。
陳怡珍議員,附近的商家其實都很期待這個停車場可以趕快啟用，因為附近的停車需求非常高。
陳怡珍議員,這些店家一直在詢問，本來聽說可能9 月可以開始，後來又聽到是11 月，他們也覺得非常頭痛。9 月其實完工了，但還要經過2 個月的驗收等流程才可以開放使用，我想請交通局務必要把握時間點，而且希望務必地下跟地上同步，因為大家已經等太久了，如果好不容易開放後又只有停車場可以用，上面還沒好，我想這還是跟民眾的期待有落差，希望同步開放使用。地下停車場可以紓解地方還有附近商家停車的問題，地上也讓民眾期待了這麼久，施工了這麼久，不管是公園或是體健設施、共融式的遊具，可以趕快讓大家使用。還有兩個月的時間，請交通局務必把握，給大家一個嶄新的，讓大家看看所謂得到獎的建設是什麼樣子，再麻煩交通局了。
主席,（杜議員素吟）
主席,下一位請Ingay Tali 穎艾達利議員發言。
Ingay Tali 穎艾達利議員,謝謝主席，我先請教警察局。局長，針對退休警察人員的費用，從最原始的金額來看，去年跟前年都調到92 萬了，之前講過退休的人會越來越多，可能需要的活動也會越來越多，針對這方面的費用，我們在編列明年的預算時有沒有調整？
警察局廖宗山局長,請會計室主任。
Ingay Tali 穎艾達利議員,請說。
會計室張永璇主任,提高到1 百萬。
Ingay Tali 穎艾達利議員,所以從92 萬提高到100 萬，增加8 萬元。
Ingay Tali 穎艾達利議員,第4屆 第2次定期會 市政府業務報告及質詢  1會計室張主任永璇：
Ingay Tali 穎艾達利議員,有兩個會。
Ingay Tali 穎艾達利議員,所以一個會增加4 萬元？
會計室張永璇主任,對。
Ingay Tali 穎艾達利議員,做什麼？買飲料用的？太少了。
警察局廖宗山局長,我們會儘量爭取。
Ingay Tali 穎艾達利議員,你是警察內行的，我是警察外行的，我能做的只是確保執行員警的身心安全、撫卹照顧、個人裝備，講真的這幾年來我問的都是這些問題而已，所以拜託真的要把員警照顧好，就像照顧你自己一樣，你自己也是警察，你們都會講，讓我們在外面執勤時沒有後顧之憂，我們就要把後顧可能的憂解決到，好不好？
警察局廖宗山局長,可以。我們儘量爭取。
Ingay Tali 穎艾達利議員,再調整，已經調定了，就是增加8 萬而已就對了？100 萬就對了？
警察局廖宗山局長,對。
Ingay Tali 穎艾達利議員,再想想看，按照人數等去調整，好不好？
警察局廖宗山局長,我們會跟主計單位爭取。
Ingay Tali 穎艾達利議員,好，這個麻煩你，第二，局長我再請教你汰換車輛的問題，今年112 年汰換了41 輛汽車及155 輛機車，明年113 年有多少車輛應該要汰換？
警察局廖宗山局長,數據我請後勤科長說明。
Ingay Tali 穎艾達利議員,找到了嗎？我幫你算過了，我昨天對到4 點，我們準備了30 輛汽車跟232 輛機車的預算，包含電動車，對不對？
後勤科郭永益科長,是。
Ingay Tali 穎艾達利議員,我比較好奇的是，換車應該有一個原則吧？根據臺南市政府及所屬機關113 年度新購及汰換(含租賃)公務車輛計畫審查原則，這個原則是維持的，如果是車的話，公務車輛已經屆滿15 年，而且有特殊原因或是用途的話，可以提報汰換，或者是里程數已經到第4屆 第2次定期會 市政府業務報告及質詢  1達25 萬公里就可以換。摩托車的話是超過15 年，或是里程數超過7 萬5 千公里就可以換，對不對？
後勤科郭永益科長,對。
Ingay Tali 穎艾達利議員,你們有照這個原則處理嗎？
後勤科郭永益科長,我們都有照這個原則處理。
