speaker,content
,主席（李議員宗霖）
,：
,各位同仁早安，目前開會的人數已達法定人數，本席宣布開始開會。市府都發局徐局長，勞工局王局長以及各科室主管，新聞媒體各位女士先生，本會同仁大家早安，今天是9 月26 日星期二，今天的議程是建設部門大都市發展局及勞工局進行業務報告跟質詢，向大會報告都發局都市更新科科長楊佳明請假，現在進行業務報告，依序請都市發展局徐局長勞工局王局長分別進行業務報告，報告前請先介紹各科室主管，首先請都發局徐局長報告，再請勞工局王局長報告。
,都市發展局局長業務報告(略)…
,主席（李議員宗霖）
,：
,我們謝謝都發局徐局長。
蔡育輝議員,有史以來就你對徐局長最好，第一個工作報告30 分鐘這麼久的，一般都只有10 分鐘，我不是反對，但局長不限時間的話可能會講半個小時，如果可以，希望可以管控時間，過去標準是10 分鐘，超過一點點沒關係。
蔡育輝議員,主席（李議員宗霖）
蔡育輝議員,：
蔡育輝議員,好，我控制一下。
蔡育輝議員,主席（李議員宗霖）
蔡育輝議員,：
蔡育輝議員,接下來換勞工局報告，謝謝。
蔡育輝議員,勞工局局長業務報告(略)…
蔡育輝議員,主席（李議員宗霖）
蔡育輝議員,：
蔡育輝議員,感謝王局長。都發局跟勞工局的業務報告完畢，現在進行業務質詢，請議事人員宣讀本會議員質詢辦法。
蔡育輝議員,議事人員：
蔡育輝議員,依據本會議員質詢辦法第3 條第2 項第2 款規定，業務諮詢時各該委員會議員優先於第一輪質詢，時間均為5 分鐘，第二輪則不分委員會，依議員登記順序質詢，該委員會議員之質詢時間為5 分鐘，非該委員會議員質詢時間為3 分鐘，如該委員會議員於第2 輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘，第三輪以後依登記順序，每一位議員質詢時間均為5 分鐘，議員同仁每輪次發言完畢不再延長。
蔡育輝議員,主席（李議員宗霖）
蔡育輝議員,：
蔡育輝議員,我們預計在11 點的時候休息10 分鐘，上午質詢時間到12:30 為止，如果各位議員沒有意見，現在開始登記發言。我們現在第一位請蔡育輝議員發言。
蔡育輝議員,我在議會唸了12 年說都發局長跟經發局長對我們溪北沒有什麼貢獻，以前蘇煥智的時候我唸一唸局長就越作越大，因為縣長跟我關係不好，每個縣長市長跟我關係都不好，不過黃偉哲我講一講兩個局長都換。你剛剛說那麼多很感謝，國土規劃內的都是農業第4屆 第2次定期會 市政府業務報告及質詢  1發展區、國土保育區，溪北還有學甲、北門、將軍等地區，我們市政府從來沒有重視我們溪北，你來說說看到底你跟前一任做的有哪裡不一樣重新修正對我們那裡有什麼好處，簡單說一下好嗎？
都市發展局徐中強局長,跟蔡議員報告，我們現在有要做的首先就是講了很久的新營糖廠，我們最近開始規劃。
蔡育輝議員,計畫還要多久？
都市發展局徐中強局長,我希望明年可以開始啟動。
蔡育輝議員,那可能黃偉哲卸任之後都還沒做，以前賴清德的政見也在台糖有動漫園區，到最後都是說謊，已經13 年了沒有半件有成功的，你再試試看會不會成功。
都市發展局徐中強局長,我們有爭取一塊長榮路旁邊的市府地要做公辦都更。
蔡育輝議員,以前你們說要用那邊，到最後沒有做移到新東，後來新東沒做又移到長勝營區，現在長勝營區又沒有。接下來呢？
都市發展局徐中強局長,接下來，我們進行蘭花科技園區三部曲，現在也跟台糖有協議那邊要重新開發了。
蔡育輝議員,秋蘭說佳里、西港人口在增加，但我們溪北六區人口一年比一年少，連議員都少一席。局長，這三件讓我拜託一下，你們單位人不多，經費不多，可是你們掌握我們未來的發展，我們的後代子孫都靠你們在規劃，農業發展區跟國土保育區都是不能發展的，難道我們是負責種菜種水果賣給市區的嗎？第二，賴清德說選上總統之後要推100 萬戶租金跟補助，請問臺南市合併到現在已經13 年了，社會住宅有幾間蓋好了？
都市發展局徐中強局長,目前已經陸續快完成了。
蔡育輝議員,到今天9 月26 日我質詢為止都沒半間，對不對？
