speaker,content
主席曾之婕議員,目前已達開會人數，本席宣布會議開始。市府鄭局長、沈處長、李處長、各單位主管、本會各議員同仁及新聞媒體好朋友大家早安，今天是10 月11 日星期三，由民政教育部門—教育局、人事處、秘書處業務報告及質詢，今天應列席官員無人請假，請議事人員宣讀本會議員質詢辦法規定。
主席曾之婕議員,議事人員：
主席曾之婕議員,依據本會議員質詢辦法第3 條第2 項第2 款規定，業務質詢時各該委員會議員優先第一輪質詢，時間均為五分鐘，第二輪則不分委員會，依議員登記順序質詢，該委員會議員之質詢時間為5 分鐘，非該委員會議員質詢時間為3 分鐘；如該委員會議員於第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘。第三輪以後，依登記順序每一位議員質詢時間均為5 分鐘。
主席曾之婕議員,議員發言時間結束後不再延長時間，原則上議程至上午11 時休息10 分鐘，中午12時30 分結束上午議程，以上若無意見請各局處首長進行業務報告，報告前請先介紹各科室主管，現在依序由教育局、人事處、秘書處首長做業務報告，教育局鄭局長，請。
教育局鄭新輝局長,(略)。
人事處沈德蘭處長,(略)。
秘書處李朝塘處長,(略)。
主席曾之婕議員,現在由登記第一輪的林冠維議員開始發言，林冠維議員請。
林冠維議員,謝謝主席。教育局局長，勞動部法令依據身心障礙者權益保障法第38 條第1 項規定，各機關、學校及公營事業員工總人數在34 人以上者，進用身心障礙者人數不得低於員工總人數百分之三。在此要向局長建議，保障身心障礙者的就業權益是社會責任，我覺得非常好，讓身心障礙者也能至公部門任職，這非常好，但我們教育局沒有身心障礙者的人事預算，是用每間學校的業務費來支應，不是每間學校都有足以負擔的業務費，所以很多學校可能就得去籌錢或向家委會籌錢以負擔此筆費用，因為這是法令規定，既然有此規定我們就應該編列經費給每間學校，身心障礙者的人事費用要補足。
教育局鄭新輝局長,是，謝謝議員關心這個議題，身心障礙就業的法令規定是希望能夠進用，所以學校裡面包括教職員工、臨時人員或約聘僱人員等，只要有職缺，我們都會優先請學校進用法令規定應該聘用的身心障礙人員，若真的沒辦法或臨時無法直接進用時就必須繳交相關費用，當然我們不希望有這樣的結果，所以這部分我們持續有在做。若個別學校開缺第4屆 第2次定期會 市政府業務報告及質詢  2065沒人來應徵或進用的人員可能不適合，這部分我們透過人事單位、校長會議時請他們有困難事先向局裡反應，我們一起來研擬，這部分也可透過媒合或與勞工局一起合作，這部分我們一直有在做。
林冠維議員,局長，身心障礙者的人事費應該由教育局補足學校，因為這是法規規定，不要讓學校在那裡找經費，有時候這樣無法保障身心障礙者的權益。
教育局鄭新輝局長,應該不會有讓學校自己去找經費的情況。
林冠維議員,都不夠，不太夠，業務費補一補都不太夠。
教育局鄭新輝局長,詳細情形我請人事主任向您報告。
教育局人事室龔節玉主任,報告議員，有關學校身心障礙人力的部分，我們透過勞工局及社會局協助學校身心障礙人員的進用，若有需要進用可透過這二個單位協助進用，學校真的有身心障礙人力進用的困難，我們每個月都會持續關心學校…
林冠維議員,困難就向教育局申請經費嗎？
教育局人事室龔節玉主任,原則上他們若有困難…
林冠維議員,原則上你要補到足，不要補一部分然後要學校再去籌錢，我的意思是這樣。
教育局鄭新輝局長,個案的部分我向議員報告我們會再來協助處理。
林冠維議員,好，謝謝局長，麻煩。第二，現在詐騙案非常多，剛看到報告中一些學校的反詐騙宣導也辦理了很多場，希望局長這邊要確實去落實，因為現在詐騙非常多所以由學校開始宣導，防止更多人再被詐騙，這部分再麻煩局長。
教育局鄭新輝局長,是，我們實際結合警察局…
林冠維議員,配合警察局。
教育局鄭新輝局長,對。
林冠維議員,非常多家長向本席反應營養午餐吃不飽及菜色需要加強的問題，大家說窮不能窮教育，苦不能苦孩子，要請局長針對午餐部分再多加強，孩子正在發育會吃得比較多，所以會覺得吃不飽。
教育局鄭新輝局長,第4屆 第2次定期會 市政府業務報告及質詢  2066會，再多盛幾碗就好，應該是有，一定要夠。
林冠維議員,沒有了，他要再盛時已經沒有了。
教育局鄭新輝局長,如果有這樣的情況其實都可以反應，表示量需要增加，隔天或接下來在控管時就會多給那班一些菜肴，我想這部分是可以調節的。
林冠維議員,好，再麻煩局長，其他家長也在反應菜色的問題，是否該提升臺南市學校的菜色？
林冠維議員,多編列一些經費提升一點，因為每個孩子都是未來的一家之主，非常辛苦，希望局長能再加強一下，謝謝局長。
主席曾之婕議員,謝謝林冠維議員。本席在此做一個補充報告，因為剛剛林冠維議員先按燈，但電腦來不及更改，導致議員後按時未能及時更改，在此表示抱歉，接下來請穎艾達利議員發言，謝謝。
Ingay Tali 穎艾達利議員,謝謝主席。教育局局長，不好意思，我們一直強調族語教育師資的問題，但一直到現在還沒有很明確的得到答覆或解決方式。這份資料是按照111 學年度臺南市教育局所訂的統計年報算出來的資料。我們可以看到表內國小原住民學生數900 多人，國中原住民學生數400 多人，我們實際上可以從事族語支援工作的只33 人，這個生師比是44.33多，而且不只是這樣，你看上面的表就可以發現我們臺南市扣除還未正名的族群外現在有十六個族群，十六個族群中也不是每個族語別都有老師，但幾乎每個族別都有學生，學生只有少數幾個族群沒有。你看國小部分，我特別以紅字寫出是我們沒有老師但有學生的，例如達悟族的國小學生有9 位，在國中也有該族學生，過去在103 學年度前還曾經有可以做族語支援的族人，但這幾年來就完全沒有了；邵語也是，國小、國中都有該族學生但我們卻沒有邵語老師，而且滿好笑的是臺南市政府轄內有人員可以開玩笑地說他是全世界第三個取得邵語高級認證的人，因為世界上也只有臺灣有此族群，第三個取得邵語高級認證者就在臺南市政府服務，所以這個問題到底怎麼解決？
教育局鄭新輝局長,我想議員一直很關心…
Ingay Tali 穎艾達利議員,再來你看新移民的部分，扣除中國籍、港澳等中文使用的國度，也先暫且扣除美國、加拿大及新加坡等假設以英語為母語的國度，再扣除日文、韓文，剩下其實你們也不知道是哪些國家，因為你們資料並沒有說明所謂「其他」是哪些國家，這些語文所需要的師資目前也僅有畫面中間這排母語支援工作者的數量，相較於實際的學生數，我們都不用去講這些學生分散在哪些學校，我們都不講，可是確確實實是不夠的，這個問題到底要如何解決？局長。
教育局鄭新輝局長,是，我想二個面向，第一個是原民的教學資源、工作人員這方向議員一直很關心，我們也希望能持續培育具有教師資格的人，現在因為師資前提是需要通過高級語言能力第4屆 第2次定期會 市政府業務報告及質詢  2067認證…
Ingay Tali 穎艾達利議員,局長，這話我已經聽你說那麼多遍了，面向、政策、方向、我們來努力等這些話我們都已經會背了，所以不需要講這些，我們講直接一點，臺南市政府有沒有辦法去編列經費自訓，我們自己來訓練我們的本土語言教師，這是第一塊，去算一算。第二，我們不用等待中央原民會計畫，臺南市自己好好想一想，如果要把現在的母語工作者，包含族語、新住民語變成專職教師，而非區區數額從中央原民會過來的經費，要變成專職教師我們需要多少經費？第三，我們有沒有可能從目前機關、學校裡用公假借調的方式，例如我剛講那位邵語老師，他甚至有幫中央原民會開線上課程，有沒有可能為學邵語學童以公假的方式把他從原民會借調出來？這些東西去計算一下，好不好？
主席曾之婕議員,接下來我們請余柷青議員發言。
余柷青議員,謝謝主席。教育局局長，早安。
教育局鄭新輝局長,是，早。
余柷青議員,我們知道現在登革熱疫情在臺南市蔓延，疫情其實很嚴重，國小老師們都會發一張登革熱在家自我檢核表，很多教師反應，這張檢核表可能意在宣導或教育小朋友對登革熱的認識，我想請局長說明一下，這是否會有爭議？因為教師們會覺得發這個東西會不會造成他們業務量增加或行政上的不便？可以請局長說明一下嗎？
教育局鄭新輝局長,其實教育工會他們基本上有這樣的堅持我實在也很納悶，向議員報告，這是有所本的，衛福部疾管署登革熱防治工作指引中有一條是要印製病媒蚊孳生源的自我檢查表，規定學生回家後確實執行。
余柷青議員,是，這是教育部規定的。
教育局鄭新輝局長,所以這是在防疫過程中是必要的，當然老師會覺得讓學生回去檢核，他們填一填可能並不務實，認為這樣是不是鼓勵學生作弊？我是覺得為什麼要從負面思考，不能正面思考，十個裡若有五個願意的話基本上可以讓家戶安全，所以我們持續溝通，也拜託老師若能鼓勵一下孩子，甚至機會教育讓他們知道怎麼防疫，怎麼來確保大家的健康，這也是一個難得的機會教育。所以我們有些同仁如宗暘科長就是，孩子就跟他說爸爸你要帶著我檢核一下，他也就是樓上、樓下這樣跑，這也可以讓孩子知道來防疫這件事是大家的責任，也知道怎麼去防疫和孳清，這是一種機會教育，要拜託老師能以正確的觀念並正向看待這件事，我想議員也會支持這樣的作法。
余柷青議員,對，我想很多老師不明白或有疑問，或是覺得這樣的檢核表若沒有做是否會受什麼懲處，可能在說明或溝通上有誤解，所以我才請局長說明一下。
余柷青議員,第4屆 第2次定期會 市政府業務報告及質詢  2068教育局鄭局長新輝：
余柷青議員,是，謝謝，讓我有說明機會，一開始就沒有說把這件工作當成一定要做的事，甚至也沒有說學生沒有做就會處罰，我們是站在鼓勵及正向的機會教育立場，當然孩子會不會受影響，一定會有，那會不會有調皮搗蛋的，也會有，但我們總是可以慢慢引導，這完全是看老師。
余柷青議員,好，謝謝局長。再請問局長，我們現在有課後輔導的時間，我們臺南市是可以延長時間到下午6 點，我知道這沒有強迫性，但重點是不管是公部門或一般公司企業下班時間大概是4 點、5 點或5 點半，家長大部分都5 點半後才下班，若學校只有到5 點半而已，我們能不能與學校或老師溝通儘量將時間延到6 點，局長，你覺得我們未來能否朝此方向？
教育局鄭新輝局長,向議員報告，你也很關心這個議題，雙薪家庭孩子較小比較需要有人照顧服務，我們過去只到5 點半，後來考量到有的區域確實有此需求，所以我們說最長可延到6 點，但若要繼續延長時間便會產生一個困擾，就是誰來照顧的問題，這部分或許需要找到一個平衡，我們可能還要再想想看是不是有特殊需要，確實安全無虞才是我們關心的。
余柷青議員,因為有滿多家長向我反應其下班後真的來不及，5 點半之後孩子都需要托育到私人的課後輔導班或安親班，重點是雙薪家庭大家都工作不易，萬一不是雙薪家庭只有單一方在工作的話其實對他們來說也是一個負擔，我想既然臺南市已經可以延長到6 點，是否未來能溝通一下，不用強迫，當然也要看學生人數夠不夠，如果你說課後輔導需要老師人力的支援，我們是不是可以增加時間延長到6 點，讓父母可以安心不用那麼趕。父母下班後還要趕接孩子，尤其下班後又是塞車尖峰時間，在交通上我們也是要注意家長的安全才能確保他們能平安接孩子回家。
教育局鄭新輝局長,這個議題我們再來研議看看是否有個別需要，個別需要的部分是否能有更妥善的處理方式，例如我們開一間教室…
主席曾之婕議員,接下來我們請陳皇宇議員發言。
陳皇宇議員,教育局局長，因為我PowerPoint 還沒出來，我想向你請教一下，對於孩子最重要的東西是什麼？你們有列出十四項，你覺得這十四項裡哪一項最重要？
教育局鄭新輝局長,在國民教育階段來說紮根他們的基本學力，讓他們有一個安全健康的校園學習環境，我想友善校園也很重要。
陳皇宇議員,是，每個議員都會討論到很多事項，我會想請教你這個東西，我們在學校有營養午餐，營養午餐的選擇有自助餐或便當，你會選擇哪一種？
教育局鄭新輝局長,第4屆 第2次定期會 市政府業務報告及質詢  2069其實自助餐放在一個餐盤裡也是變便當。我們吃的東西現在是三菜一湯，無論你是用哪一種容器來裝，基本上要讓孩子吃得飽、色香味俱全。
陳皇宇議員,還有有溫度嘛？
教育局鄭新輝局長,對。
陳皇宇議員,有時候我們有中央廚房的概念，當然也要考量車程還有周遭的社群，例如余柷青議員在新化，有一個大目降醫療群，就是周遭所有的醫療體系，我們營養午餐有自設廚房、央廚校群及外訂桶餐，若將之劃分出來應該是這樣，但現在其實央廚提供其他小校有其成本效益，你有沒有發現在央廚校群部分還滿有趣的，例如文賢國中旁邊是文賢國小，文賢國小目前有99 位學生，文賢國中竟然不是同一個央廚校群，兩校僅一牆之隔的距離為什麼會這樣規劃，我剛舉例是醫療體系在周遭都可供應的，所以孩子收到的午餐絕對是熱呼呼的，絕對是色香味俱全的，這是很特別之處，你有發現這點嗎？
教育局鄭新輝局長,向議員報告，臺南市原來央廚並沒有那麼多，但希望能發揮規模經濟，您也相當肯認，現在就是在媒合過程中原來他自己有煮有供應，接下來再加進來的就會產生這樣的情況。
陳皇宇議員,所以還有一個更特別的，歸仁的歸南國小供應到龍崎國小、龍崎國中，也供應到新光國小，沒錯吧？
教育局鄭新輝局長,是。
陳皇宇議員,我們關廟區有自設廚房的只有一個關廟國中，奇怪，關廟國中自己能力夠，其實協助新光或龍崎的學校距離其實是較近的，但竟然拉到歸仁去，從歸南國小送過去。你寫得洋洋灑灑十四項主軸，但我覺得在溫度及色香味俱全的部分有點在我們想像之下。整個新豐區自設廚房有六間，央廚有十七間，外訂桶餐有五間，整個算起來大概30%，對嗎？
教育局鄭新輝局長,向議員報告，會有外訂桶餐是規模比較大的，所以其學生人數相對較多。
陳皇宇議員,對，沒錯，例如五甲國小現在人數就很多，現在是外訂桶餐，如果以關廟其他小校來看，我關廟其他小校的午餐基本上都是由歸仁其他大校來提供，但紅瓦厝國小人數很多卻沒有自設廚房，我覺得央廚的建置和群落有無可能再修正？
