speaker,content
主席,（尤議員榮智）
主席,目前出席已達開會人數，本席宣布會議正式開始。市府衛生局蘇局長、社會局盧局長、各科室主管、媒體好朋友、本會同仁、各位市民朋友大家早，今天是10 月16 日星期一，由環保衛生部門衛生局、社會局進行業務報告及質詢，今日社會局政風室主任請假，由都發局政風室主任石翌儒代理，依照議事日程，上午的議程至12 點30 分，原則上不再延長，中場分別在10 點30 分、11 點30 分各休息10 分鐘，於業務報告後，再開放讓各位議員按燈登記發言，報告順序是衛生局、社會局，報告時間均以10 分鐘為原則，請各局首長於報告前先介紹各科室主管，首先請衛生局蘇局長到報告臺進行業務報告。
衛生局蘇世斌局長,（略）
衛生局蘇世斌局長,。
主席,（尤議員榮智）
主席,可以了嗎？不用再加1 分鐘嗎？謝謝蘇局長，接下來請社會局盧局長報告。
社會局盧禹璁局長,（略）
社會局盧禹璁局長,。
主席,（尤議員榮智）
主席,感謝盧局長的工作報告，進行質詢前，先請議事人員宣讀質詢的辦法。
主席,議事人員：
主席,依據本會議員質詢辦法第三條第二項第二款規定，環保衛生委員會議員優先於第一輪質詢，時間均為5 分鐘。第二輪則不分委員會，依議員登記順序質詢，環保衛生委員會議員之質詢時間為5 分鐘，非環保衛生委員會議員之質詢時間為3 分鐘，如環保衛生委員會議員於第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘。
主席,第三輪以後依登記順序，每位議員質詢時間均為5 分鐘，報告完畢。
主席,（尤議員榮智）
主席,接下來進行質詢，請本委員會陳皇宇議員質詢。
陳皇宇議員,感謝主席，我先秀出一個「食」，當然不是指食安，因為你們最近都消瘦很多，我先問社會局局長，這裡有一個翹翹板，第一個要跟你討論的是惜食平臺，到底是先有需求還是供給？
社會局盧禹璁局長,應該是先有需求，再來創建這個惜食平臺。
陳皇宇議員,當有需求時再供給，關於惜食平臺的建置，科長可以說一下建置的理由是什麼嗎？
社會救助科楊瑞美科長,議座，惜食平臺一開始是希望能夠連結一些相關的公有市場，把一些也許賣相不好，但還可以食用的食材，避免丟棄浪費。媒合市場附近的供餐據點，把這些食材做更好的利用。
社會救助科楊瑞美科長,第4屆 第2次定期會 市政府業務報告及質詢  2531陳議員皇宇：
社會救助科楊瑞美科長,這張是2023 年10 月16 日要質詢社會局的投影片，如果再仔細看圖中的照片，會發現上面寫了「此冰箱沒有電」，就空著了，這是前陣子的。當我們有需求時，我們來供給，建置了一個冰箱，這是我當時還沒當議員時捐贈的，結果發現它現在閒置在關廟，這個你知道。我們現在媒合的是龍崎的永續發展協會，或許可能可以提供給其他發展協會做供餐服務，這方面我想我們再加強一下。我不想讓我捐贈的東西，結果現在閒置在那裡，而且環境也變得非常糟糕，一個符合社會局規格的冰箱，那時是許乃文科長在的時候，希望有一些企業可以捐助，所以我們捐助了，但後續沒有被好好善用，我覺得比較可惜，再加強一下。
社會局盧禹璁局長,是。
陳皇宇議員,「冰箱沒電，請放外面，謝謝」，這個感覺讓人有點驚訝，建置了19 個地方，從第一個東菜市到後續設置的，你有沒有去巡視一下，究竟有沒有需要？尤其又經過3 年的COVID-19 疫情，這個還蠻嚴重的。接著食物愛心銀行是誰負責的？
社會局盧禹璁局長,也是救助科。
陳皇宇議員,112 年3 月28 日開幕後，這家就沒了吧？
社會救助科楊瑞美科長,跟議座說明，這個點後來移到東區小東路新的委辦分行，由惠山基金會承辦。
陳皇宇議員,為什麼這麼快就轉過去了？有很多的問題嗎？
社會救助科楊瑞美科長,因為原本的承辦單位，沒有繼續承接的意願。
陳皇宇議員,它就在仁德，我還去參加了，原因是什麼？我們應該要大力支持跟協助食物銀行，都是想要幫助這些人，承辦單位不願意承接的原因，可能是因為一些小問題，而後變成了大問題，這方面再修正好不好？
社會局盧禹璁局長,好。
陳皇宇議員,目前臺南有幾處食物銀行？從去年到今年增加幾處？
社會救助科楊瑞美科長,跟議座說明，今年的南化原本是合作分行，但因為南化比較偏區，服務量比較沒有那麼高，所以調整為分站。另外今年新增了3 個合作分行，分別是下營分行、歸仁分行以及仁德分行。
陳皇宇議員,針對食物銀行，不管是社會局或市長都大力支持食物銀行的可用性及互相交流的精第4屆 第2次定期會 市政府業務報告及質詢  2532神，你們有沒有訂一個目標，一年要增加多少個，以協助這些我們看不到的、需要協助的黑數？
社會救助科楊瑞美科長,有，跟議座說明，依市區或偏區的數量，我們要求每月新增10 戶到15 戶以上，明年我們會再新增目標數。
陳皇宇議員,為什麼會問這個？關於偏鄉的照護量能，你說偏鄉比較少人，可是大部分都是需求的。所以我覺得你要特別關注的，把都市區跟偏鄉區，特別需要服務的抓出來，做個比較表，檢視我們要服務多少量能，才可以知道要設立多少的食物銀行，我想這是有意義的事情，希望它可以永續經營，不要一下子這邊不做了，又換另外一個。
主席,（尤議員榮智）
主席,謝謝陳皇宇議員，接著請Ingay Tali 穎艾達利議員發言。
Ingay Tali 穎艾達利議員,謝謝主席，衛生局蘇局長，請問0 歲平均餘命是什麼意思？
衛生局蘇世斌局長,就是平均年齡。
Ingay Tali 穎艾達利議員,0 歲的新生兒，預估他從0 歲開始還可以再活多久吧？
衛生局蘇世斌局長,是。
Ingay Tali 穎艾達利議員,平均餘命跟平均壽命有什麼差別？
衛生局蘇世斌局長,其實沒有太大的差別。
Ingay Tali 穎艾達利議員,在各個地區、地方或國家平均餘命的差異，具體、直觀來看，是什麼樣的因素造成這些落差？
衛生局蘇世斌局長,第一是基因、種族的關係，有些種族很長壽，就像日本有一些長壽的地方。
Ingay Tali 穎艾達利議員,局長你看一 下這張表，這是內政部最新的資料，111 年全國0 歲的平均餘命是79.84歲，在六都當中，臺南市倒數第二，是80.14 歲，剛好是20 個高於平均值的統計縣市的臨界點，我們比高雄稍高一點，但我們跟臺北市有3 歲多的差距，局長你覺得這個差距是什麼造成的？
衛生局蘇世斌局長,第一是醫療資源，這個很重要。第二是民眾的健康習慣，還有公共衛生的服務，這些都是重要的影響因素。
Ingay Tali 穎艾達利議員,我們已經知道是這些原因了，但我們做了哪些努力，以確保臺南市的平均餘命，可第4屆 第2次定期會 市政府業務報告及質詢  2533以再稍微提高一點？比方4 年前本席就提過，根據目前各個現行規定及各地區的需求，我們的區域運作上是不是還有不足的？醫療資源的量能是不是還有分配不均的地方？這塊有沒有去做？
衛生局蘇世斌局長,這個問題，一直都會存在。
Ingay Tali 穎艾達利議員,但有沒有去做？
衛生局蘇世斌局長,我們也想要努力弭平，比如以臺南3 個醫療次區域來講，大部分的醫療資源，當然都是落在弱勢區域。
Ingay Tali 穎艾達利議員,我們之前講過，最該新設區域醫院的就是南區，因為按照10 萬的人口數來看，之前也提過，因為快速道路的連接，所以選定在沙崙歸仁地區，在這條線上是ok 的，但其他部分呢？我們看一下另一份資料，也是平均餘命，但是因為沒有統計資料，所以拿前一年110 年的資料比較。全國的平均餘命80.86 歲，可是以族群來區分的話，原住民就低至73.92 歲，甚至男、女性也跟全國的男、女性平均差很多，同期的臺南是80.55 歲，原住民還是73.92 歲，如果要再細分山地、平原的話，還會有不同的數據，代表原住民的健康狀態，其實面臨更高的健康風險，這也是為什麼現在很多的福利給予政策或醫療政策，會訂定比如一般市民65 歲以上，原住民是55 歲以上，它不是一個特權，等於我們可能在55 歲時，就面臨一般非原住民者在65 歲時一樣的風險，它的概念是這樣。我們之前在處理武漢肺炎疫苗的施打時也是一樣，當我們在律定一般市民65 歲以上施打時，會顧慮55 歲以上的原住民，已經開始面對這樣的健康風險，所以一併施打。但這次的流感，第二階段公布了，從11 月1 日開始，也沒有把原住民55 歲以上納入。
衛生局蘇世斌局長,跟議員報告，這是健康平權跟醫療平權的問題，第二階段是50 歲以上的人口，不分任何的身分跟對象。
Ingay Tali 穎艾達利議員,在前局長時代，我們就溝通過這件事情了，這個應該向中央反映，因為你們也不可能隨便定規則。
衛生局蘇世斌局長,這個議題，我們今年會反映，也會規劃。
Ingay Tali 穎艾達利議員,我希望在下個階段施打前，就能夠把這個徹底改掉，我們在講55歲以上的原住民時，並不是特權，也不是特別的弱勢照顧，這是一個健康風險的實質問題，我想這塊不要每次都需要這樣提醒了，應該自發性地做好才對。我們還要花這個時間，跟您講這件事情，你還講健康平權。
衛生局蘇世斌局長,我想這是一個健康平權的問題。
Ingay Tali 穎艾達利議員,第4屆 第2次定期會 市政府業務報告及質詢  2534平權是正義。
主席,（陳議員皇宇）
主席,請本委員會的尤榮智議員發言。
尤榮智議員,"感謝主席，蘇局長，現在最夯的就是登革熱，熱點差不多都在永康、北區、東區這邊，昨天10 月15 日臺南市公布累積病例為15,095 人、死亡27 人。我記得105 年臺南市最高是2 萬多人，死亡人數有112 人，數量相當龐大。當然過去發生的事情，我們現在都非常清楚，包括要如何防治，如果家中發生登革熱，就要請衛生局去噴藥消毒，如果是在外面，就要請環保局處理。登革熱目前防治的成效有逐日降低了，現在處理的情形如何？"
衛生局蘇世斌局長,跟議員報告，登革熱在臺南，主要是因為病媒蚊的關係，臺南、高雄、屏東長期到未來可能都要持續面對的。我們的防治有標準的執行措施，比如室內、外大家分工合作，重點是民眾要提高自我管理的意識，孳清。
尤榮智議員,是，我瞭解，如果地區尚未強制執行噴藥的，我們會強制噴藥，如果已經噴過藥，但仍然還是增加，我們有另一個辦法來處理。現在的家內防治，大家的反映都非常差，媒體電視上的報導，大家都怨聲四起，一定要每處都噴嗎？是只針對得到登革熱者的家中嗎？
衛生局蘇世斌局長,登革熱不是人傳給人，是蚊子叮咬人後四處飛。
尤榮智議員,對，我知道。
衛生局蘇世斌局長,所以困難處在於蚊子，可能在你我家中飛來飛去，尤其有7 成的蚊子都在家中，所以一定要入家戶處理，包含噴藥、清理積水容器，這兩項重點一定要做，當然造成很多的不方便。
尤榮智議員,百姓的見解是因為臺南市每個周六都有清潔日，現在掃地的歸掃地，容器如果有積水的要仔細看，如果被發現容器有積水的話就3 千，有人曾經被開罰過，不是室內，是室外的。環保局表示開罰後，就來不及了，一定要罰3 千，就是警惕作用。臺南市定期都會發生這麼大的事情，市政府的面子也掛不住，別的地區都不叮，都叮我們這邊。我不時在講，蚊子飛不到1 百公尺，差不多50 至100 公尺而已，如果是外縣市的人來臺南市玩被叮了，回去不會傳染了，但是那位要消毒，這是很嚴重的。
衛生局蘇世斌局長,外縣市也是有病媒蚊，白線斑蚊。
尤榮智議員,非常少。
衛生局蘇世斌局長,第4屆 第2次定期會 市政府業務報告及質詢  2535因為臺灣現在是一日生活圈，其實人潮來來去去的，有時候早上還在臺北，下午就回來了，所以會來來去去的。
尤榮智議員,我都說臺南市不是在養蚊子，病媒蚊也不是專門只叮我們，要讓疫情完全杜絕，局長你有什麼辦法，可以完全杜絕？
衛生局蘇世斌局長,我也想在此特別提醒，尤其這次的登革熱給我們一個經驗，防疫清潔日的防疫重點，不是以社區為主要重點，社區以外的家中也要處理，每週建議巡視兩次家內，從樓上到樓下，屋內屋外、屋前屋內看看是否有積水容器。
尤榮智議員,積水容器比較有可能在戶外，尤其是荒廢長雜草的地方，最容易躲藏。
衛生局蘇世斌局長,家中也很多。
尤榮智議員,如果是家中比較乾淨的，就沒有這種事情。
衛生局蘇世斌局長,因為我們在區域內發現很多這樣的。
