speaker,content
主席林冠維議員,現在議員出席人數已達法定開會人數，本席宣布開會。市府農業局李局長、地政局陳局長、各科室主管、媒體好朋友、本會同仁及各位鄉親朋友，大家早。今天是112 年10 月13 日星期五，本日議程是由財經部門農業局及地政局業務報告及質詢。向大會報告，今天上午無請假官員。向大會報告，本次議程每一局處業務報告時間以10 分鐘為原則，請問各位同仁有無意見？好，謝謝。現在請地政局陳局長至報告台進行業務報告，報告前請陳局長先介紹各科室主管。
地政局陳淑美局長,(略)
主席林冠維議員,好，謝謝陳局長的報告，請回座。繼續請農業局李局長至報告台進行業務報告，報告前請李局長先介紹各科室主管。
農業局李建裕局長,(略)
主席林冠維議員,謝謝李局長的報告，請回座。農業局及地政局業務報告已完畢，在開始進行議員質詢前，請議事人員宣讀質詢辦法。
主席林冠維議員,議事人員：
主席林冠維議員,依據本會議員質詢辦法第3 條第2 項第2 款規定，業務質詢時各該委員會議員優先第一輪質詢，時間為五分鐘，第二輪則不分委員會，依議員登記順序質詢，該委員會議員之質詢時間為5 分鐘，非該委員會議員質詢時間為3 分鐘；如該委員會議員於第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘。第三輪以後，依登記順序每一位議員質詢時間均為5 分鐘。
主席林冠維議員,好，謝謝。請郭鴻儀議員發言。
郭鴻儀議員,謝謝主席。農業局局長，請看一下這段影片（影片為2023 年10 月10 日臺南仁德區太子路150 巷監視器畫面，畫面中數隻遊蕩犬圍攻一隻黑色遊蕩犬）
郭鴻儀議員,。局長，你看到這樣的畫面出現在社區裡，若是一般民眾看到會不會嚇一跳？
農業局李建裕局長,這是一定會嚇到。
郭鴻儀議員,如果是老弱婦孺或是孩童被攻擊該怎麼辦？怎麼自救？
農業局李建裕局長,通常我們在鄉下都會向老人家們說，因為……
郭鴻儀議員,局長，我請教一下處長。處長，像這樣的狀況一次又一次在社區裡發生，被咬的這第4屆 第2次定期會 市政府業務報告及質詢  241隻也是狗，連自己的同類也被攻擊，我想如果是孩子的話可能連命都沒了，所以遊蕩犬長期對我們社會造成不安，包括環境衛生及公安問題等等非常多，但我們不是說：不希望牠們存在或去撲殺什麼的，但基本上我們的源頭管理做好了嗎？
郭鴻儀議員,這幾年我們一直在強調，包括議會裡的同仁大家對這個議題一直很重視，每次工作報告及總質詢都會出現這樣案例，你看影片是10 月10 日的，二、三天前的事，發生這樣的命案現場。再看一下，這樣恐不恐怖？成群結黨，在這樣精華且人口密集的地區還是非常多，上東城附近有上千戶居民，這樣的地方竟然出現成群結黨的遊蕩犬，好幾十隻，我拍到的時候差不多有二十幾隻，非常不應該，到底我們的漏洞和問題在哪裡？處長，這是回放的結果嗎？
動物防疫保護處吳名彬處長,向議員報告，其實這些重點區域我們沒有在做回置，這邊的浪浪我們也很積極在捕捉，重劃區這邊原本是有很茂密的樹木，現在有做一下整理，我們也向這附近餵養的愛媽告知不應該在此餵養，這邊已經很積極地在做捕捉，包括利用：誘捕籠、大型圍籬或麻醉槍，這些重點區域我們一旦捕捉就不會再做回置，雖然我們動物之家已經爆滿了。
郭鴻儀議員,我想從源頭管理、從餵養制度等等一定要趕快下最重要的一帖藥，不然我們臺南市的遊蕩犬真的是全國第一，連這個都要全國第一！
動物防疫保護處吳名彬處長,向議員報告，其實我們的遊蕩犬依農業部的調查是全國第七，我們是逐年在減少，全國是增加，但我們臺南市……
郭鴻儀議員,好，這是你手上的資料。
動物防疫保護處吳名彬處長,這是農業部調查的。
郭鴻儀議員,好，請坐。局長，另外一件事，中央叫我們把牛埔、龍船納入到西拉雅國家風景區裡，結果因為彈藥工廠那邊要做維修，中央不給錢，是不是這樣？中央是不是不給錢？
農業局李建裕局長,向議員報告，昨天國產署有開會，土地是國產署的，未來國產署及退輔會要維護管理，以上報告。
郭鴻儀議員,所以中央博歹筊嘛，市府憨憨綴人去培墓，不是嗎？高興說要納入西拉雅國家風景區，結果不給錢，市府自己去編新興預算，你們明年度是不是要編在新興預算裡？有沒有這個計畫？
森林及自然保育科朱健明科長,報告，沒有。
郭鴻儀議員,沒有，確實沒有？
森林及自然保育科朱健明科長,第4屆 第2次定期會 市政府業務報告及質詢  241沒有。
郭鴻儀議員,那維護的經費從何而來？
森林及自然保育科朱健明科長,我剛有向議員報告，昨天開會結果由：國產署及退輔會負責裡面的建物及環境……
郭鴻儀議員,有確定了嗎？
森林及自然保育科朱健明科長,昨天國產署副署長開會有……
主席林冠維議員,謝謝郭鴻儀議員，請沈震東議員發言。
沈震東議員,謝謝主席。地政局局長，辛苦了。
地政局陳淑美局長,議員好。
沈震東議員,想請問星鑽段2425、2426 地號地上權案，可不可以說明：在三場投資說明會後竟然流標了，想問一下現在的情形及內部大家對這兩塊土地設定地上權案有什麼樣的擔憂才導致流標？
地政局陳淑美局長,向議員報告，這個地方其實我們很積極的在做招商動作，我們也在北、中、南辦理招商說明會，也對全國連鎖各大飯店、商場進行了訪商工作，他們回報給我們的訊息是：
地政局陳淑美局長,他們其實還是很期望將這個地方做為住宅使用，但因為我們運河星鑽在都市計畫中所設定的土地分區是觀特區，觀光特區，只有一部分的比例可以做為住宅使用。
沈震東議員,50%？
地政局陳淑美局長,對，那是觀特1，觀特2 的住宅比例就不太一樣，不過這沒有關係，因為我們現在要做的是地上權招商，地上權招商是我們希望活化中西區商圈，包含友愛商圈及連接的海安商圈，所以我們不希望它做住宅，我們會希望能引導廠商來做飯店或商場，至於民間所有權得標業者可按土地使用管制都市計畫的規定要做住宅或商業都可以。
沈震東議員,是，局長，您在這次聽到大家心聲後有沒有想要重新檢討2425、2426 或者右側2410、2411 財稅局用地？我們昨天和財稅局討論時發現2411 是財稅局的用地，該地正正方方，目前供交通局作為停車空間使用，我們詢問未來是否有規劃或繼續維持現況低度利用，若搭配地政局左邊這塊就會是很特別的一塊用地，我想請問是否能將這次流標的2425、2426 加上2410、2411 後做整體評估，在整體檢討後再重新設定地上權，邀請大家來參與地上權招商。
地政局陳淑美局長,第4屆 第2次定期會 市政府業務報告及質詢  241謝謝議員的關心和建議，這部分我們會啓動相關的檢討機制，包含根據我們訪商後各業者給我們的意見，地上權價格的部分我們可能用收益法重新做檢討，針對用途別部分，我們也會根據地上權特性、日後使用狀況及市府回收時對市府是有利的狀態來檢討。
地政局陳淑美局長,剛剛議員有提到財稅局這塊土地，其實那塊土地比較大塊，地政局在旁邊還有一塊較小的土地，不管是誰搭配誰這其實都是可行的，不過有一點我必須要提醒，地政局的土地要招商我們要簽報府內同意，然後公告就能招商……
沈震東議員,這部分可能需要地政局、財稅局共同來討論一下有沒有這樣的可能性。
地政局陳淑美局長,不一樣。
沈震東議員,假設財稅局獨自辦理後，換地政局這塊地其實也不好設定地上權，在權衡下可以檢討、評估是否有其他可能性，那我們就留給地政局、財稅局與府層這邊去做探討，看有沒有這樣的可能性與機會？我們看到中國城、興南國小或金城國中在許添財市長時代時做了規劃卻至今未看到任何進展，只看到荒煙蔓草，但是大家對這裡是有很多期待的，所以在此要麻煩局長。
地政局陳淑美局長,好。
沈震東議員,第二個問題想問的是：好市多和緯路及文賢路交叉路口對面的賢豐幾號，目前綠鐵皮已經拉下來剩透明鐵網，我想請問現在實際狀況？因為有些鄉親有在詢問裡面空地空間，是否可供市民使用？
地政局陳淑美局長,議員講的可能是我們賢北自辦市地重劃？
沈震東議員,對。
地政局陳淑美局長,那部分他們現在正在進行當中，在重劃期間重劃會及土地所有權人都有維護管理環境的義務，所以若有髒亂或現在的登革熱疫情問題他們都要負起這個責任。
沈震東議員,重點是民眾關心裡面有一塊公設空地什麼時候可以使用？
地政局陳淑美局長,那是……
主席林冠維議員,謝謝沈震東議員，請余柷青議員發言。
余柷青議員,感謝主席。農業局局長，辛苦了。
