speaker,content
主席,（李議員文俊）
主席,目前簽到人數已達法定開會人數，本席宣布會議開始！市府環境保護局許局長、政風處高處長、法制處楊處長及各科室主管、新聞媒體好朋友、本會各議員先進及電視機前的市民朋友大家好，今天是113 年4 月29 日星期一，進行的議程是環保衛生部門業務報告及質詢，由環境保護局、政風處、法制處進行業務報告，今日無請假官員，依照議事議程，上午開會時間到12 點30 分，原則上不延長，於10 點30 分及11 點30 分各休息10 分鐘，請局處首長進行業務報告，報告前請先介紹各科室主管，首先請環保局許局長至報告臺進行業務報告，報告時間為15 分鐘。
環境保護局許仁澤局長,（略）
環境保護局許仁澤局長,。
主席,（李議員文俊）
主席,感謝許局長，接下來請政風處高處長進行業務報告，報告時間為10 分鐘。
政風處高伯陽處長,（略）
政風處高伯陽處長,。
主席,（李議員文俊）
主席,感謝高處長，接下來請法制處楊處長進行業務報告。
法制處楊璿圓處長,（略）
法制處楊璿圓處長,。
主席,（李議員文俊）
主席,感謝楊處長，現在業務報告已完畢，現在請議事人員宣讀本會質詢辦法。
主席,議事人員：
主席,依據本會議員質詢辦法第3 條第2 項第2 款規定，環保衛生委員會議員優先第一輪質詢，時間為5 分鐘，第二輪則不分委員會，依議員登記順序質詢，環保衛生委員會議員之質詢時間為5 分鐘，非環保衛生委員會議員質詢時間為3 分鐘；如環保衛生委員會議員於第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘。第三輪以後，依登記順序每一位議員質詢時間均為5 分鐘。
主席,（李議員文俊）
主席,以上若無意見，開始登記發言，請李宗霖議員發言。
李宗霖議員,環保局局長，我們剛剛都有看到您的報告，我是覺得您報告的很好，裡面有很多我們環保局做的事情，也很清楚，但是我想要請教您，就是我們的這個垃圾山跟雲林、臺東並列，是全臺灣最嚴重的地方，你覺得垃圾山這個東西到底是怎麼樣產生的？我們有辦法解決嗎？
環境保護局許仁澤局長,現在說的垃圾山指的是我們自己管理的，還是指非法棄置的？其實這兩類。
李宗霖議員,加起來在六都中，我們其實是最嚴重的。
李宗霖議員,第4屆 第3次定期會 市政府業務報告及質詢 1環境保護局許局長仁澤：
李宗霖議員,統計上說我們第三名，不過基本上就是在廢棄物去化的設施不足。
李宗霖議員,我們去化的設施不足之後，我們臺南就可以讓他們隨便倒垃圾？
環境保護局許仁澤局長,不是這樣，這個基本上我們的管理應該還有加強空間。
李宗霖議員,所以我們來看一下其他都的狀況：臺北1 個、新北1 個、桃園6 個、臺中5 個、臺南，我剛剛認真算了一下，大概13 到14 個。那這樣子的狀況之下，你要怎麼樣在短時間內減少到10 個以內？
環境保護局許仁澤局長,我們是期望在115 年新爐子上來之後。
李宗霖議員,所以我們都要等到新爐子上來，才有辦法處理這些問題？
環境保護局許仁澤局長,以目前來講，量能是不足，當然還有兩個工業區，焚化爐現在在興建，如果有機會的話應該。
李宗霖議員,所以要到2026？
環境保護局許仁澤局長,這個期程也是在這個城西焚化廠之後了。
李宗霖議員,2026 我們可能就要換政府了，也不知道局長是不是能繼續處理到那邊，我們是希望有辦法能讓你繼續做，希望這個問題能夠可以趕快解決。
環境保護局許仁澤局長,是。
李宗霖議員,那這個問題就是說我們除了不要讓它增加以外，我們來看一下，這是臺灣近二十年一般廢棄物的產生量，我不知道為什麼從2018 年開始，我們廢棄物的產生量突然大量的增加，那我們再去看政府的有兩個部份，其實包含中央政府他們做的部分，比較差的地方是我們在末端的處理經費的費用遠高於源頭減量的經費，我其實是想要請問你，就是說我們都把預算放在廢棄物的末端處理，但是我們臺南市的垃圾堆積也是非常的嚴重，那我們要怎麼樣把我們有哪些經費是放在源頭的減量這一塊？
環境保護局許仁澤局長,源頭減量我們希望是分類可以再精細一點。
李宗霖議員,是。
環境保護局許仁澤局長,包括我們未來的收益，有沒有辦法每一天收不同的，那這個價值會比較高，因為現在的回收物綜合類的把它混在一起，基本上那個營運商不太願意收，再加上國際市場的第4屆 第3次定期會 市政府業務報告及質詢 1價格偏低，所以事實上國內的價格也不好，怎麼樣去從源頭減量？包括事業廢棄物把它資源化，當然現在在推的SRF 是一個，那如果說它分得更細，事實上是可以材料化，根本不用把它當作燃料去燒掉，這個都有很大的空間，我們可以去努力。
李宗霖議員,那會不會有一些部分是可以從我們自身周圍來盡量做起的？包含像是我們市府，或者是提醒我們民眾，多做一些教育，讓民眾的這個民生的廢棄物，在自發性的這個部分可以減少？
環境保護局許仁澤局長,基本上就是可以減少使用一次性的物品，那因為這個COVID-19 一段時間之後，大家已經有點又變成恢復那種習慣，當然要慢慢再把它調整過來。
李宗霖議員,所以其實COVID-19 那個時候，其實大家的狀況是相對比較好的，是這個意思嗎？
環境保護局許仁澤局長,不是，是都是用一次性的比較多。
李宗霖議員,所以就是狀況都不太好？
環境保護局許仁澤局長,是，狀況不是很好。
李宗霖議員,我現在是提供你一個案例來參考，就是說之前我有看過在臺東，臺東有在做環保永續的這些店家，臺東有二、三十間自發性的店家，他們提供了循環杯給這些店家來做使用，那譬如說我在甲店放了這個具有臺東市市徽的循環杯，那他在甲店拿了這個杯子之後，他到乙店或是丙店，他就是可以做這個循環杯的歸還，那這個狀況之下，他們又讓這個拿循環杯的這個顧客來減價，那這個部分，我們是不是有可能朝這個方式來努力？
李宗霖議員,然後讓臺南市的一些店家可以自動自發的來參與，那我們也推廣，就是來減少這些塑料或者是這些塑膠杯子的使用，這個部分有可能從我們市政府開始來做嗎？因為臺東那是店家先開始之後，然後臺東市政府就覺得不錯，然後就繼續做下去。
環境保護局許仁澤局長,我們基本上已經有這個措施，但是怎麼擴大，是連鎖的還是可以跨店的？這個是我們。
主席,（李議員文俊）
主席,請吳通龍議員發言。
吳通龍議員,局長，中石化安順廠的整治，總共整治多久了？
環境保護局許仁澤局長,從民國90 幾年開始，到民國100 年時才正式開始，不過在民國90 幾年時就已經開始在說這件事情了。
吳通龍議員,民國90 幾年時開始整治？
環境保護局許仁澤局長,第4屆 第3次定期會 市政府業務報告及質詢 1就開始在說了。
吳通龍議員,是開始在說還是開始整治？你們知道整治時間是哪時候開始的嗎？裡面有寫得很清楚嗎？
環境保護局許仁澤局長,民國98 年就開始了。
吳通龍議員,民國98 年就開始整治了，也整治有十幾年了。
環境保護局許仁澤局長,對，有十幾年了。
吳通龍議員,那麼到目前整治到什麼程度了？
環境保護局許仁澤局長,它現在差不多有80 幾％以上，但是因為後面剩下的這一段是比較難處理的，這一段就是當時汙染比較嚴重的，就是要有一些重機具去破壞之後，才可以把土挖出來。
吳通龍議員,那這部分不是我們環保局只有監督嗎？是不是？
環境保護局許仁澤局長,我們有監督，對。
吳通龍議員,有仔細監督嗎？
土壤汙染管理科顏美惠科長,"目前監督的部分，如果有發現違反相關法令規定的部分，我們從監督到現在，大概處罰了30 件，1,560 萬的一個罰鍰，那目前還是就是很嚴格的監督當中。"
吳通龍議員,對，罰款一次是多少？
土壤汙染管理科顏美惠科長,有20 萬的，那累次的話，也有甚至到100 萬的。
吳通龍議員,我相信說這塊地如果整治得好，應該對我們臺南市是一個很好的標竿，那麼預計大概什麼時候？是不是你寫的115 年？還會再延期嗎？
環境保護局許仁澤局長,它預定到114 年結束，但是在115 年約半年的時間去驗證，看到底有沒有完成。
吳通龍議員,有辦法完成嗎？你怎麼看？
環境保護局許仁澤局長,當然它的計畫書是有辦法，我們也是希望早點結束，因為在地我們這裡的市民也很在意說時間拖那麼久。
吳通龍議員,對，我相信這個我們地方上的人都非常關心的。
吳通龍議員,第4屆 第3次定期會 市政府業務報告及質詢 1環境保護局許局長仁澤：
吳通龍議員,是。
吳通龍議員,你看我雖然不是在這個區裡面，但也有人這樣跟我說，所以當然我今天在這個業務報告，我有看到你在這裡面寫得很清楚，但是不是絕對在115 年以前能夠完成呢？你的報告中寫115 年度，對不對？
環境保護局許仁澤局長,對。
吳通龍議員,我就問說115 年有沒有辦法完成嗎？
環境保護局許仁澤局長,我們是希望這樣，但是中間的監督我們會再加強，因為設備在幾年下來已經較為老化了，處理的效果我還是希望說能夠維持，如果可以維持，速度就會快，所以我會加強。
吳通龍議員,所以現在我們站在監督的立場，要怎麼盡速去完成？怎麼讓它做到能夠合格就對了，這也是應該我們都有責任去好好監督它，不然你總不能讓它隨便做做就算了吧？那麼後面是不是又會衍生很多問題出來？
環境保護局許仁澤局長,對，它不可能隨便做，最後都還要驗證，程序很複雜，它做完，我們再檢驗過，沒問題才可以。
吳通龍議員,所以我會說我們就是要好好的監督好，我相信這是臺南市市民有很多人在看、有很多雙眼睛在看的地方，那我們也不要去草率、不要輕率的去做它，這樣子好不好？
環境保護局許仁澤局長,是。
吳通龍議員,那其次我們的電動機車，科長請坐，我在說這些電動機車，我們臺灣真的要好好的加強，差不多我在1993 年去到中國大陸的時候，他們滿街都是電動車，我那時候就說我們臺灣一直說我們很講究環保，為什麼人家中國大陸我們都一直在恥笑他們？我們只笑人家，比人家還落伍，在1993 年的時候，我去到大陸，我發覺到為什麼他們的電動機車這麼盛行？這表示是不是說我們還有什麼要加強的地方？其實我一直在認為我們臺灣的電動汽車是不是太貴了？那環節出在哪裡呢？為什麼中國中國大陸的電動機車那麼盛行？大街小巷幾乎都是電動摩托車、電動汽車，我們臺灣為什麼做不到？你知道這個原因出在哪裡嗎？
環境保護局許仁澤局長,當然中國大陸當時他們應該是推動禁摩，就是市區有一些汽油車不能進來，再來，就是它的車比較簡單，他們的設計比較簡單，我們的車其實還有安全性跟很多的驗證，事實上我們的這個電動汽車。
主席,（李議員文俊）
主席,第4屆 第3次定期會 市政府業務報告及質詢 1我現在先跟各位議員報告一下，我們原則上到朱正軒要休息10 分鐘，如果沒有環保委員會的議員登記，到朱正軒就要休息10 分鐘，請Ingay Tali 穎艾達利議員。
Ingay Tali 穎艾達利議員,來，環保局長許局長。
環境保護局許仁澤局長,是。
Ingay Tali 穎艾達利議員,環保局許局長，我跟你請教第一個問題，油水分離這件事情，我們前年開始宣布實施這個制度，應該是說去年開始列管，去年的第一階段16 家，我先請教一下，這16 家執行的狀況如何？（按-臺南市餐飲業油水分離設施推動進度）
環境保護局許仁澤局長,我是不是請科長答覆？
Ingay Tali 穎艾達利議員,盡快。
一般廢棄物管理科邱瑞基科長,報告議員，這16 家目前都已經。
Ingay Tali 穎艾達利議員,百分之百？
一般廢棄物管理科邱瑞基科長,對，百分之百執行。
Ingay Tali 穎艾達利議員,好，接下來第二階段我們針對這個50 人以上，未滿300 人的要開始做了，7 月1日，今年要開始列管，這邊有掌握多少家店數是符合這個資格條件的？
一般廢棄物管理科邱瑞基科長,我目前掌握是63 家。
Ingay Tali 穎艾達利議員,63 家，來，局長，之前有說過了，全臺南的餐飲店座位數50 人以上，未達300 的只有63 家，你要信嗎？
環境保護局許仁澤局長,我不太相信，應該是稍微。
Ingay Tali 穎艾達利議員,所以接下來，我們第三階段，在後年開始走的，30 人以上，未滿50 人，又會有多少家？你那邊已經有現在的數字嗎？是多少家？
一般廢棄物管理科邱瑞基科長,目前掌握的是98 家。
Ingay Tali 穎艾達利議員,98 家，聽到沒有？全臺南所有的店家，座位數30 人以上的只有98 家，所以之前就講過了，不是說只有用經發局這邊的，不管說你用商登的資料或者是稅籍的資料，就是只有這種數字，那這樣的數字做下來，黑數重重，做出來會有成果嗎？做出來會不會變成說，明明有店家那麼努力在做，結果就有一些黑數，把這個成效打壞了，把你環保第4屆 第3次定期會 市政府業務報告及質詢 1局的成效打壞了，怎麼辦？
環境保護局許仁澤局長,這個還是要實際去查。
Ingay Tali 穎艾達利議員,不用跟我說那些空話，我跟你講，你這整份，我先講，我不否認環保局所有同仁所有的努力，但是我就事論事，這整份根本就是一個包裝紙，隱惡揚善嘛！細節的部分從來不去探討嘛！像我就跟你講這個東西怎麼辦，到現在你都跟我講說繼續研究，有沒有實際的辦法？如果都沒有辦法來講的話，我的建議是推跟拉雙管齊下，你們要編預算，做什麼預算？獎勵跟鼓勵預算，如果說他已經在你們開始列管之前就已做的，你是不是適足的給予獎勵？如果說你們在列管之後，他還沒有做的，但是我們鼓勵他做，我們可以限量、限額的提供補助的措施，讓他冒出來，讓他自己主動來申請，這是一個方法，不是只有唯一的方法，試試看，而不是每次都說研議研議，然後等到下一個議員再問，或下一次事情爆發之後，才來去做處理，這樣可以嗎？
環境保護局許仁澤局長,這個跟議座報告，我們不是說研議，我們會清查，應該是清查。
Ingay Tali 穎艾達利議員,你要怎麼清查？你的名單來自於經發，經發來自於店家的登記，店家沒有去做登記，他也不會死啊！對不對？就像當年在做防疫的時候，在做武漢肺炎的時候，那麼多的商家受影響，每個都說要補助，這個時候就做什麼？你沒有做商登沒有關係，但是如果你有稅籍登記，你就可以來辦這個補助，於是就冒出來了，雖然不是全冒出來，但是就冒出來了，冒出來之後，當然他們也不見得，就因為那個數額他不符合現在的稅法規定，就一定要去再補稅，其實都不用，大部分都不用，但是他就是浮出來，變成我在政策推行上好管理。所以要想的是這個方法，怎麼樣把他誘導出來，你要清查，你怎麼清查？挨家挨戶嗎？對不對？
環境保護局許仁澤局長,這個有點脫鉤的概念，這個我們可以來試試看。
Ingay Tali 穎艾達利議員,好不好？
環境保護局許仁澤局長,好。
Ingay Tali 穎艾達利議員,所以這個繼續努力。再來，請教一下，我們環保區隊，它的建物的所在地，有沒有規定是要什麼地目才可以？
環境保護局許仁澤局長,基本上，我們現在地目除了有兩塊是跟台糖租的。
Ingay Tali 穎艾達利議員,你自己看，我已經把你的地目列出來，這是目前各區隊的這個資料，問題為什麼要列這個東西？就是因為可能會因為它的地目不符合，變成我們很多環保署，現在應該叫什麼？
環境保護局許仁澤局長,第4屆 第3次定期會 市政府業務報告及質詢 1環境部。
Ingay Tali 穎艾達利議員,環境部的補助專案裡面是沒有辦法補助給它的，我舉個例子來講，現在包含我們東區區隊，然後北區跟安南區是聯合區隊，它的建物強度等級，就顯然的，讓大家看到這個等級評分就會有疑慮了，可是有沒有補助下去？有沒有？什麼時候才會補？你要馬兒跑，但是你不給馬兒吃草，以前我在提永康區隊時也一樣，每次下雨的時候，就淹水淹到二、三尺，都沒有人替他們想？
主席,（李議員文俊）
主席,請陳昆和議員。
陳昆和議員,請教我們政風處處長，我們的政風處處長是市長指派的嗎？
政風處高伯陽處長,報告，我是法務部派下來，一條鞭系統。
陳昆和議員,你是法務部派下來的嗎？
政風處高伯陽處長,是。
陳昆和議員,那我記得在我們第三屆議員以及第四屆議員的總質詢，本席都有提到我們的經發局局長被檢舉，而且檢舉的事情都很具體。
政風處高伯陽處長,是。
陳昆和議員,那我也請我們經發局以及政風處有關單位，做關於太陽能光電的專案報告，那本席也請教過處長，你都說一切都依法？
政風處高伯陽處長,這部分我能不能跟議員說明一下？
陳昆和議員,我們今天說經發局局長陳凱凌的事情，一件一件的從七股工業區，七股工業區在檢舉函裡面也有，太陽能光電、力暘科技在檢舉函也都有，所以我們處長就不用受處分就對了？
政風處高伯陽處長,報告議員，我能不能說明一下？我在專案報告的時候，確實有就相關的執行的內容，就是檢舉的內容，我們有做說明，我有說明說有違法疑慮的部分。
陳昆和議員,你根本是講說他沒有問題。
政風處高伯陽處長,大部分我們查沒有不法證據，因為我們只做行政調查。
陳昆和議員,你是查沒有，所以呢？
陳昆和議員,第4屆 第3次定期會 市政府業務報告及質詢 1政風處高處長伯陽：
陳昆和議員,有違法的部分，我們說送地檢署。
陳昆和議員,反正局長之上，你就不能查就對了？
政風處高伯陽處長,我們行政調查，沒有辦法查到那一部分。
陳昆和議員,局長之上，你就不能查？所以我的意思就是說今天發生這種事情，臺南市政府的政風處形同虛設？
政風處高伯陽處長,我們真的要更努力。
陳昆和議員,也變成遮羞布，你的功能在哪裡？
政風處高伯陽處長,很多部份，我們還需要再努力。
陳昆和議員,再努力，再努力掩飾是不是？還是檢討改進？
政風處高伯陽處長,我們有盡我努力去查察了。
陳昆和議員,你已經盡了力了，已經盡力了，是不是？
政風處高伯陽處長,但是做得不夠好，這我承認。
陳昆和議員,你不是市長派的，今天經發局的事情，你認為市長有沒有責任？你們認為呢？
政風處高伯陽處長,我沒有資料，我不能這樣講。
陳昆和議員,市長沒有責任？
政風處高伯陽處長,我沒有這樣講。
陳昆和議員,他有沒有責任？
政風處高伯陽處長,我沒有辦法判定。
陳昆和議員,針對法律責任跟政治責任。環保局局長，上一次你的報告裡面，那針對2025 年的非核家園，以及我們國際的2050 年世界淨零碳排，那你有做了一張表，剛才我們Ingay Tali 穎艾達利議員也在提，好像你的報告裡面有隱惡揚善、粉飾太平，本席記得上一次你有做一張表，這張表我想請教你，目前臺南市的太陽能光電目前核准多少？
陳昆和議員,第4屆 第3次定期會 市政府業務報告及質詢 1淨零永續科科長鄭華安：
陳昆和議員,我們目前是4.22GW。
陳昆和議員,目前是4.22GW？
淨零永續科鄭華安科長,對。
陳昆和議員,那我們原來在2025 年我們應該達成多少？
淨零永續科鄭華安科長,之前我們臺南市的淨零路徑設定是3.25GW。
陳昆和議員,2025 年？
淨零永續科鄭華安科長,對，目標。
陳昆和議員,2025 年？那什麼時候要有2.5GW？去年的資料我還保有，那最新的資料是不是給我？
環境淨零永續科鄭華安科長,好。
陳昆和議員,補給本席？
環境保護局許仁澤局長,報告議座，剛剛的那個數字，確定的數字應該不是這樣，我們再確認一下，抱歉。
陳昆和議員,跟局長講，台電最慢2040 年有氫能發電，而且會提早在2030 左右，你看太陽能光電。
主席,（李議員文俊）
主席,好，請朱正軒議員。
朱正軒議員,那首先就教環保局，局長，這個其實是在永康的鹽行這邊，我們這邊是一個工務局的公園預定地，那照理來講工務局地主本身有很大的管理責任，當然我們現在要把它規劃做公園，也有在爭取經費了，但是我們就發現說在這過程裡面，空地這邊就會被人家開始堆置一些廢棄物，然後我們都知道，環保局的同仁一定最清楚這個破窗效應的問題，就是一個地方一旦被丟了一個東西，接下來旁邊的人經過就開始丟了，所以我們當時也有拜託環保局的同仁，幫我們設置這種臨時的監視器，然後也設置告示牌，就是說至少讓它的量不要再增加，那這個也是要感謝環保局協助，後來有把這些垃圾處理掉，只是我們在想說能不能讓這件事情不要發生，那不要發生的話，當然現在整個永康區43 個里，就我們區隊來講，只有4 支這種移動式的監視器，那我在想說我們如果有辦法，當然這個已經是最末端的最不好的，就是說我們還要透過監視器來防範，而且透過監視器我們等於是在釣魚了，就知道說你會來丟，我準備要來抓你了，其實這不是好的第4屆 第3次定期會 市政府業務報告及質詢 1現象，但我們至少這一塊要做到，我們要知道是誰做了這些事情，局長，這個有沒有辦法改善？
環境保護局許仁澤局長,這個監視器的部分，我們現在跟中華電信還有警察局甚至於有線電視，我們來嘗試看看，合作把這個量增大，因為太多死角，如果沒有這些監視器。
朱正軒議員,我們通常會設這種移動式監視器，其實都是已經發生了，我們知道這邊是熱點，我準備要來抓你了，但是我們至少把最後這一塊有做到了，也謝謝你們，這一部分是後來有處理到，我想說這個現象一定要提醒局長，我們的警政系統其實有很多的監視器，我相信環保局跟警察局中間的聯繫已經合作很多了。
環境保護局許仁澤局長,我們有合作。
朱正軒議員,這個部分，我們是不是有辦法再繼續來增加？
環境保護局許仁澤局長,這個有辦法，我們最近也剛跟業者談，要把這個量能把它擴大。
