speaker,content
主席蔡蘇秋金議員,目前出席人數已達開會人數，本席宣佈會議開始。首先恭喜陳淑姿主計，升官要到中央為我們的國家奉獻。工務局陳局長、研考會陳主委，各單位主管以及媒體好朋友，本會同仁，各位市民朋友大家早安。今天是5 月6 日星期一，由工務委員會工務部門工務局與研考會進行業務報告與質詢，今天沒有人員請假，依照議事日程，我們上午議程到12 點半，原則上我們不再延長，中間11 點休息10 分鐘，因為今天我們沒有手語老師，業務報告結束後按鈴登記發言，如果各位同仁沒有意見的話，時間就以10 分鐘為原則。
主席蔡蘇秋金議員,報告之前請介紹各科的主管，首先請工務局陳局長報告。
工務局陳世仁局長,業務報告(略)。
主席蔡蘇秋金議員,謝謝陳局長。有個建議跟要求，未來報告如果你的業務報告裡面有第幾頁，請唸一下，否則議員可能不知道你唸到哪裡。接著請陳淑姿主計長做業務報告。
研究發展考核委員會陳淑姿主任委員,業務報告(略)。
主席蔡蘇秋金議員,謝謝陳主委的業務報告，質詢前先請議事人員宣讀質詢辦法。
主席蔡蘇秋金議員,市議會議事人員：
主席蔡蘇秋金議員,依據本會議員質詢辦法第3 條第2 項第2 款規定，工務委員會議員優先第一輪質詢，時間均為5 分鐘。第二輪則不分委員會依議員登記順序質詢。工務委員會議員之質詢時間為5 分鐘，非工務委員會議員質詢時間為3 分鐘，如工務委員會議員於第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘。第三輪以後依登記順序，每一位議員質詢時間均為5 分鐘。
主席蔡蘇秋金議員,請李宗霖議員發言。
李宗霖議員,兩位局長，這個應該跟你們兩位其實都有關係。我先跟大家解釋一下這件事情，我們臺南最近，包含整個臺灣，有7 所高中的學生個資遭到駭客入侵，臺南這邊是土城高中，我會再問教育局後來的清查狀況。可是東區復興國小其實也有駭客去入侵他們的粉專，然後把他們的粉絲頁全部都變成是限制級的，或者是成人比較適合觀看的相關內容，這個當然都是資安的問題。再來圖片下面這個就是華為戶外的招牌，在螢幕上面停留了好幾個小時，大概3、4 個小時。我想要問一下兩位局長，先問工務局好了，針對這個招牌的部分，這個部分有沒有東西可以管？
