speaker,content
主席郭鴻儀議員,市府水利局邱局長、新聞處蘇處長、各位單位主管以及媒體好朋友，本會同仁、各位市民朋友大家早，今天是5 月7 日星期二，由工務部門水利局、新聞及國際關係處進行業務報告及質詢。今天請假的單位有國際新聞關係處影視數位科方瑞唯科長，因調職返鄉先行請假，由簡佳偉專員代理，依議事日程上午議程到12 點半，原則上不再延長，中場原則在11 點休息10 分鐘，因為手語老師要休息的關係。業務報告完畢再開放讓各位議員按燈登記發言，請問各位同仁有沒有意見？沒有意見，通過。業務報告時間以15分鐘為原則，報告之前請先介紹各科室主管，首先請水利局邱局長至報告台進行業務報告。
水利局邱忠川局長,（業務報告）
主席郭鴻儀議員,謝謝邱局長，接著請新聞處蘇處長至報告台進行業務報告。
新聞及國際關係處蘇恩恩處長,（業務報告）
主席郭鴻儀議員,謝謝蘇處長。依據本會議員質詢辦法第三條第二項第二款規定，工務委員會議員優先第一輪質詢，時間均為5 分鐘，第二輪則不分委員會，依議員登記順序質詢，工務委員會的質詢時間為5 分鐘，非工務委員質詢時間為3 分鐘，如工務委員會議員在第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘，第三輪以後依登記順序，每一位議員質詢時間為5 分鐘。現在請陳怡珍議員發言。
陳怡珍議員,謝謝主席，蘇處長，我跟你請教一下，今年2024 年的跨年是第一次溪北、溪南同時舉辦，一起迎向今年臺南四百2024 年，請問一下處長，我們今年整個活動參加的人次跟往年比較起來，雙跨年晚會的效果你覺得怎麼樣？
新聞及國際關係處蘇恩恩處長,當然今年因為有兩個地區同時舉辦，所以我們今年在跨年的部分剛才有報告過，除了同一天的跨年活動跟前一個禮拜的耶誕活動。
陳怡珍議員,處長，你的同仁要給你數字。
新聞及國際關係處蘇恩恩處長,這三場總共有38 萬至39 萬人次到現場參觀。
陳怡珍議員,三場，你講的還有包含之前耶誕的那一場？
新聞及國際關係處蘇恩恩處長,是。
新聞及國際關係處蘇恩恩處長,第4屆 第3次定期會 市政府業務報告及質詢 21陳議員怡珍：
新聞及國際關係處蘇恩恩處長,那就跨年這一天呢？如果單就跨年這一天的人次跟去年比起來呢？
新聞及國際關係處蘇恩恩處長,那當然去年底跨年我們從現場一看，整個周邊的道路都是滿的。
陳怡珍議員,這個講得太不科學了。
新聞及國際關係處蘇恩恩處長,整個裡面都滿的以外，周邊道路都滿了，這個跟往年比起來是很多。
陳怡珍議員,你一定會比較，人次你們一定會去計算的，今年雙跨年的人次跟去年比較起來，應該有一些數字吧？
新聞及國際關係處蘇恩恩處長,應該有增加好幾萬人。
陳怡珍議員,不可以應該，就是要有很準確的數字，因為大家看的是數字。
新聞及國際關係處蘇恩恩處長,我們去年是32 萬，今年總共是38 萬。
陳怡珍議員,38 萬是三場，我說的是跨年晚會這一場。
新聞及國際關係處蘇恩恩處長,跨年那一場大概預估有至少18 萬到20 萬人。
陳怡珍議員,兩場加起來18 萬到20 萬人？
新聞及國際關係處蘇恩恩處長,對。
陳怡珍議員,好，那去年的跨年晚會呢？
新聞及國際關係處蘇恩恩處長,去年跨年晚會是只有一場在永華大概15 萬人。
陳怡珍議員,雙跨年花的錢多少？
新聞及國際關係處蘇恩恩處長,我們每年花的錢都一樣。
陳怡珍議員,那看起來雙跨年的效益是比往年還好，所以今年2025 年會維持雙跨年晚會嗎？
新聞及國際關係處蘇恩恩處長,我們目前還在規劃當中，還會尋求各方的意見。
陳怡珍議員,第4屆 第3次定期會 市政府業務報告及質詢 21還沒確定？因為如果聽到這個說法，我想可能溪北的同事們又會很有意見，因為溪北的同事希望溪北有跨年晚會，讓他們不用跑到西側廣場，今年聽起來如果這樣的效益是好的，為什麼還要再考慮?
新聞及國際關係處蘇恩恩處長,我們往年是這樣的，往年是溪北的部分是25 號，不是當天或者是前一個禮拜。
陳怡珍議員,有，市長有說自己打自己也只有臺南這樣辦，所以2025 年會繼續這樣辦嗎？
新聞及國際關係處蘇恩恩處長,我們會做一個評估，因為溪北原本都會有一場。
陳怡珍議員,看時間要錯開還是要同一天？
新聞及國際關係處蘇恩恩處長,因為同一天有同一天的好處，也有缺點，第一個就是歌手的安排。
陳怡珍議員,那什麼時候會確定？對啊！大家就會比卡司，那大概什麼時候會確定？
新聞及國際關係處蘇恩恩處長,我們大概在8、9 月份會做一個確定。
陳怡珍議員,那接下來還有一個問題請教處長，之前有跟你詢問過姊妹市、友好城市，黃偉哲市長上任到目前總共幾個？11 個嘛？
新聞及國際關係處蘇恩恩處長,對，到昨天為止，市長上任期間是11 個，是六都裡面最多的。
陳怡珍議員,因為原來是9 個，4 月份開始又多了平戶，最近又多了那珂。
新聞及國際關係處蘇恩恩處長,對，昨天那珂訂為我們第11 個。
陳怡珍議員,所以是在六都裡面最多的，臺北3 個，高雄好像5 個，新北、桃園是7 個，所以臺南目前是11 個，是最多的，當然是一個好的成績要給予肯定，但是我們締結了這些姐妹市、友好城市，後續跟這些姐妹市、友好城市怎麼持續維持關係？不是簽完約就沒事了。
新聞及國際關係處蘇恩恩處長,締結姊妹市最大的功效就是促進兩市人民的交流，第二個，可以幫我們行銷臺南的農產品，像我們最近這幾年締結了姐妹市或者是友好城市交流，他們都會在當地辦臺南週的農產品推介活動，他們也會把他們的人吸引到臺南來觀光，所以我們持續在交流。
陳怡珍議員,希望是有雙向實質的交流，我們如果簽完友好城市、姐妹市之後，好像就這樣一個段落，其實也沒有什麼實質的意義，更需要的是雙方實質的交流，臺南可以是六都裡面締結最多友好城市、姐妹市，我想也是我們城市獨有的、值得大家來走訪的魅力，大家也很願意、樂於跟臺南締結姐妹市，可是締結之後我們怎麼提供給他們更多的誘因？讓第4屆 第3次定期會 市政府業務報告及質詢 21他們願意來到臺南、大家能夠有更多實質的交流，然後雙向都增加一些實質的效益，我覺得這個是除了簽約以外，後續要繼續……
主席郭鴻儀議員,好，謝謝怡珍議員，接下來請李宗霖議員。
李宗霖議員,謝謝主席，水利局局長。
水利局邱忠川局長,議員好。
李宗霖議員,你好，差不多二月的時候，竹溪據說被排放惡臭的汙水，這件事確定是有的嗎？
水利局邱忠川局長,我們有馬上去檢驗水質，它的pH 值差不多是7.6，是中性，目前依照檢驗報告來講是沒有汙水排進，我們研判水質會比較黑，最主要是因為枯水期水位比較低，比較靠近河床的底部，河床底部本來就比較黑，所以看起來是黑色的。
李宗霖議員,它的惡臭是怎麼來的？
水利局邱忠川局長,最主要是因為枯水期水沒有流動，水沒有流動就比較會有臭味的問題。
李宗霖議員,那這個狀況之下，在枯水期的時候要怎麼樣做調整？或是水利局有沒有辦法在枯水期的時候處理關於臭味的部分？
水利局邱忠川局長,"是，我現在報告，現在第一期截流量是2 萬3,000 噸，還有大約2 萬2,000 噸的水還沒處理，這個部分也是會排放下去，這是家庭汙水的部分，所以我們希望趕快把竹溪二期興建。"
李宗霖議員,後面還有三期跟四期嗎？
水利局邱忠川局長,沒有，我現在說的是水質的部分是二期，如果是河川整治，有分為四期，目前水質的部分水淨廠第一期已經完成了，每天可以處理2.3 萬噸，第二期我們預計八月份要開工，那這個經費是4.6 億元，已經跟環境部爭取到，我們會趕快來施作。
李宗霖議員,我最後要問你的是這是民眾覺得有問題才去檢舉，你們才來測的，但是你們平常多久會去監控或是檢查？
水利局邱忠川局長,水質的部分是環保局，他每個月都會去……
李宗霖議員,這是環保局的。
水利局邱忠川局長,第4屆 第3次定期會 市政府業務報告及質詢 21是，如果是民眾檢舉我們當然會馬上去做檢測，也就是採樣，採樣結果看起來水質是沒有一般性的毒物，沒有重金屬。
李宗霖議員,因為民眾都有在說，包括你們也說鋒面來的時候水質會有變化，都會比較差，所以我是在想有沒有可能因為鋒面來，所以下雨，就有民眾偷倒一些東西，這個部分可能要麻煩你們更加注意，因為這是在都市內很好的一個環境。接下來再向你們感謝一下，哈赫拿爾森林跟整個竹溪都有關係，這是很大片的自然景觀，現在工程的進度差不多到哪裡了？預計是五月開放對嗎？
水利局邱忠川局長,竹溪整治二期應該是5 月底完工，我們正在趕。
李宗霖議員,6 月之前就會開放？
水利局邱忠川局長,差不多完工以後我們就可以開放。
李宗霖議員,人進入到這個地方之後難免會有破壞環境的情形，你們有沒有辦法在開放的時候向這些民眾宣導？像是環境教育有沒有可能在這裡進行？
李宗霖議員,，讓大家進來這裡的時候，第一、有光榮感，第二、可以教育他們，讓他們知道為什麼要保護這個地方。
水利局邱忠川局長,是，環境教育是我們跟社大一直在努力的，環境教育這部分我們也有一個環境教育室，針對民眾進入哈赫拿爾森林的時候我們會教育，另外也有解說牌，告訴大家不要破壞。
李宗霖議員,好，要拜託你們一件事，包含古河道福安坑溪這裡應該也跟你們有關係對嗎？
水利局邱忠川局長,現在是都發局，因為他們已經在水環境這部分有爭取到一部分經費要來開蓋。
李宗霖議員,他們應該是在做設計的部分，我是想要跟你們說這個部分我很注意，我們希望關於水、河流的這些東西不應該只是工程思維，而是應該要把設計的思維納入進去，把整個環境跟景觀考慮進去，臺南這麼好的溪流、溪水才能透過你們的工程、營造，讓我們的環境變漂亮，拜託你們了。
水利局邱忠川局長,全力以赴，謝謝。
