speaker,content
主席蔡宗豪議員,開始會議。臺南市政府黃偉哲市長、方秘書長、各局處首長、新聞媒體各位女士、先生，本會各位同仁以及電視前關心臺南市政的好朋友們，大家早安、大家好！今天是6 月14 號星期五，也是本次定期會第23 次會，上午議程為「市政總質詢-自由發言」。每位議員質詢的時間為10 分鐘，不再延長時間。首先請曾之婕議員質詢，時間10 分鐘，曾議員請。
曾之婕議員,謝謝主席。市長、各局處長及現場的媒體記者，大家早安、大家好！今天我在這邊針對兩件事與市府團隊來探討。先放第二張簡報，看一下這個標題，交通局局長及市長，全臺首創取消待轉，我相信這是現在所有臺南市民相當關心的一個交通計畫的改革，全臺首創，我想請問市長及交通局局長，首創提出取消待轉，我在這邊稍微揶揄一下，提出首創但當初也是首創提出捷運，為什麼到現在還沒有捷運？如果要說首創的話，府城古都為什麼不首創把臺南市的古蹟文化修復好？而卻來首創來取消待轉。再回到上一張影片，請市長、交通局長看一下這段影片（影片中機車騎士在禁行機車的快車道上疾行，不顧後方汽車嗚按喇叭，並有機車騎士直接從後方切車左轉）
曾之婕議員,。好，這一段影片看到這邊不曉得市長及交通局局長有什麼感想？路口前方有一個待轉機車格，這個機車騎士在還未取消待轉時，就已經用現在大家常講的鬼切方式來左轉，這相當危險，像我以及大部分的人平常都是開車，面對機車騎士這種行為真的是會措手不及，除非是像我一樣時速不是太快的人，時速快的人就撞上去，局長。
交通局王銘德局長,向議員報告，首先從來沒有說過是首創，目前在處理的是單向兩車道，如果內側還有禁行機車，是要給機車足夠的行駛空間，所以把內側的禁行機車取消，同時取消之後，因為內側道的入口，就同時開放左轉，這個道路議員你看一下……
曾之婕議員,局長，你說到這裡的時候我就覺得「霧嗄嗄」(臺語)，市長請坐，我覺得有點複雜，好，你再接著說。
交通局王銘德局長,是，影片中的道路，議員可以看到這是三車道，內側並沒有取消禁行機車，所以機車騎士不可以騎到內側，到了路口他也必須要兩段式的左轉。
曾之婕議員,好，局長，謝謝你的說明，我就讓你先說到這裡。包括機車，最近有一連串的交通改革實施，都不強制兩段式左轉，然後機車可以直行也可以……
交通局王銘德局長,不是不強制，單向兩車道的道路就不強制。
交通局王銘德局長,第4屆 第3次定期會 市政總質詢 962曾議員之婕：
交通局王銘德局長,好，我剛剛跟你提的，你說明的時候，我就會覺得很複雜，你們自己解釋時，說起來都很簡單，條條有理，執行下去也覺得應該很簡單，但是行車用路人覺得真的是一頭霧水。再來，關於反對的聲浪我不曉得市府團隊、市長信箱及交通局有沒有收到很多民眾提出的疑問？反對的聲浪你們有聽到嗎？因為光是我個人，我只是一個東區的市議員，我的粉絲專頁及IG 的留言板與訊息是塞爆的，我一度以為我是交通局局長，還是我在交通局上班，因為很多人問我，一開始也覺得就像局長剛剛講的很簡單、很清楚，我也覺得就是這樣，但是市民朋友已經問到我也「霧嗄嗄」(臺語)，所以我覺得需要在自由發言時提出來與你探討，很多市民朋友也正在觀看，藉由我們兩個的一問一答來給他們解答，局長，你還有話要說？
交通局王銘德局長,我想現在大家比較混淆的是在單向兩車道的部分，盤點完原來的舊市區與永康、仁德部分大概有40 多條，目前試辦開放了10 幾條，所以比較容易混淆的是在單向兩車道部分有開放、部分沒開放，所以會在下半年希望做一次性的開放，當然開放之後，地面的標誌的塗銷需要一定的時間，不過會一次性的先用立牌的方式把它全面開放，且也有先與警察局協調，就算騎士騎上去後暫時不予舉發，如果是一次性全面開放之後，我想單向兩車道的道路，大家就不會混淆，所以還是請用路人在行駛的時候要特別注意各條道路之狀況。
曾之婕議員,我覺得到時候可能還是有必要做一個非常詳細的示範跟說明。
交通局王銘德局長,是。
曾之婕議員,來看一下臺南市交通事故的傷亡比率，連續24 個月都是蟬聯第一，所以交通局長可能要請你加加油，而且在與全世界人口數這樣子比下來，臺南市的交通問題在全世界也是算榜上有名。
交通局王銘德局長,可否容許我向議員報告，我們與警察局、市長都盯得非常緊，在A1 的數字上在這半年有下降。
曾之婕議員,你身為臺南市的交通局長，我有一個問題要問你，第一個問題是取消待轉，就是先部分實施的路段，你覺得交通事故是會增加還是減少？
交通局王銘德局長,所以我們很謹慎，經過了半年的試辦，事故的件數沒有特別增加，尤其分析機車涉入的反而還減少，如果特別有左轉的事故，就是你剛剛提到的他並沒有在最內側左轉，他是在外側左轉的行為。
曾之婕議員,目前有些路段並非全線同時取消兩段式左轉，像這樣子……
交通局王銘德局長,第4屆 第3次定期會 市政總質詢 963如果是整條道路一定是一次取消，只是有一些道路有取消，有些道路目前還沒有取消。
曾之婕議員,我還是覺得很複雜，希望你們真的開始實施時，還是要清楚明白的說明。
交通局王銘德局長,是。
曾之婕議員,再來我請局長到東區的大同路、開山路、府連路及府連東路，親自開車不要坐車，開車去看一下，那邊有很多的T 字路口，我的開車資歷也滿深的，直至現在行駛到那幾條路的時候，我還是會有一點遲疑。如果我是第一臺的時候，現在要往這條道路，到底要看這支紅綠燈，還是那支紅綠燈？我如果是停在後面幾臺的話就是跟著前面的車走，那裡怎麼如此的複雜？
交通局王銘德局長,向議員報告，第一個路型，它是一個多插入入口的路型，它完全不方正，也不對稱，所以在號誌處理上，會儘可能利用牌面的輔助來讓行車人知道應該看哪一支紅綠燈，不過這當然是入口現況的問題。
曾之婕議員,好，再來，又因為你們交通的改變計畫使我的訊息信箱再度被塞爆，就是後甲圓環現在允許機車直行，可以騎到汽車道。
交通局王銘德局長,對，開放機車可以直行。
曾之婕議員,根據這個結果，今年與去年同期的交通事故案件來比較，因為有如此的交叉比對後增加13 件交通事故，所以針對這樣的改變你有何說法？
