speaker,content
主席李啓維議員,目前議員出席人數已達法定開會人數，本席宣布開始開會，市府觀旅局林局長、文化局謝局長、美術館林館長及各科室主管、新聞媒體的好朋友、本會同仁大家早，今天是5 月1 日星期三，本日的議程是由建設部門觀光旅遊局、文化局含臺南市美術館營運狀況進行業務報告及質詢，向大會報告，今天請假的市府官員有文化局文化資源科科長余晏如請假，有發函給議會。現在進行業務報告，依序為觀光旅遊局林局長、文化局謝局長及美術館林館長分別來進行業務報告，報告均以15 分鐘為原則，報告前請先介紹各科室主管，首先，先請觀旅局林局長來做業務報告。
主席李啓維議員,業務報告：略。
主席李啓維議員,好，謝謝美術館林館長的報告，向大會報告，接下來要進行業務質詢，依據本會質詢辦法的規定，業務質詢該委員會議員優先第1 輪質詢時間為5 分鐘，第2 輪不分委員會，以議員登記順序質詢，該委員會議員有5 分鐘，非該委員會議員為3 分鐘，如該委員會議員於第2 輪質詢中時到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘，第3 輪以後，依登記順序每一位議員質詢時間均為5 分鐘，每位議員同仁質詢發言完後不再延長。預計在11 點休息10 分鐘，上午質詢時間到12 點30 分，下午質詢時間1 點30 分開始，如果各位議員沒有意見，現在就開始登記發言。好，先請朱正軒，等一下，有沒有委員會的議員？沒有，好，朱正軒議員，請。
朱正軒議員,感謝主席，先請教觀旅局山林步道的部分，我想最近的登山人口變得非常多，局長應該對這件事有所了解，可是山友都在反映，其實要爬山的話，臺南有好幾個很棒的地方，像是大凍山，大凍山周邊還有好幾個小的山群，都很好走路，旁邊有雞籠山等等，但是第一個就是環境髒亂的問題，沿途上環境髒亂，第二個是步道的部份也欠缺更新，這只是一個部分，就是養護的部分，還有更大的一個麻煩點是，養護的部分再補充一個，梅嶺這邊也有需要養護的部份，梅嶺旁邊也有好幾個，像是竹子尖山可以接到嘉義，可是現在步道還沒有佈設完，梅嶺本身也是需要養護，我再舉一個例子，像是烏山那邊也有好幾個小百岳，但是很可惜這些小百岳，目前都沒有妥善的規劃，有一些甚至連步道都沒有，但是山友普遍都反映要運動的話，都要到嘉義或者到高雄，我想請問局長，有沒有編列預算在做養護，或者主動要去新闢步道？
觀光旅遊局林國華局長,向議座報告，目前臺南市轄區大概有四大登山系統，一個就是關子嶺，剛剛提到的大棟山，或者是雞籠山步道，第二個是東山的崁頭山步道，第三個是梅嶺登山步道，第四個是南化烏山的步道系統，分管其實有林業署……。
朱正軒議員,第4屆 第3次定期會 市政府業務報告及質詢 1局長，所以我在想針對一些步道要主動編列預算，把一些有觀光潛力且山友會需要的景點主動鋪設步道，然後逐年佈設，山友就會有感覺臺南每一年都在進步，這樣市民就會很有感覺了，還有養護的經費，也要拜託局長，局長，這是第一個部分，謝謝。再來的話，是文化局的部分，局長，整個永康北線的文化資源已經討論過很多次了，可是我在這邊想要再一次的拜託局長，因為局長對那邊其實非常的熟悉了，包含洲仔尾、三崁店，還有包含再往南一點到六甲頂這部分，還有之前討論過的，優先把飛雁新村做好，整個進度以及所有三崁店的這些資源，還有局長也去參加了，誠美建設整個把洲仔尾400年的歷史做上、下兩次的策展，怎麼把這些文化資源串連起來，局長，我要跟你討論的是市區的這些文化景點，本身及周邊都有一些經濟消費活動，我一直認為文化當然是一份很專業的工作，可是要把人潮帶進來，文化才會活起來，人潮帶進來的話，除了單純的文化本質以外，周邊的這些聚落也都很重要，局長認為到底是雞生蛋還是蛋生雞，到底是先有哪一個，鹽行這個地方，永康北線這麼豐富的文化資源，是不是有辦法先把經費投入進去，我舉個例子，六甲頂那邊，因為之前飛雁新村原本遠雄要進來蓋房子，現在因為發現了一些史前的遺址，是不是應該編列一筆預算，把這些史前遺址作成場館或策展的方式，把地方的資源發展起來，才可能有下一步，進一步吸引人潮進來參觀，了解永康在地的歷史，局長，像洲仔尾、三崁店跟六甲頂這些地方，是否能夠有一個專案，編列一筆預算，讓專業的團隊跟文化局一起來把這些事情逐步推動，否則可能會一直持續停留在原地。
文化局謝仕淵局長,好，非常感謝議座的關心，對整個永康北線，從三崁店現在正在修復，一直到洲仔尾，在地文史團體的串聯，然後在軟硬體上，可能可以整合出最有規模的飛雁新村，現在都……。
朱正軒議員,有沒有辦法成立一個專案，真的來推動，而且這些都是帶狀的，是可以串連起來的。
文化局謝仕淵局長,現在我覺得可以做一件事情，因為其實3 個部分各自在進行，進度議座也都很清楚，現在就是讓這3 個點，把它整合成為……。
朱正軒議員,但我覺得力道還不夠，舉例來講，像六甲頂那麼多的史前的遺址，但是並沒有很明確的規劃要變成一個場館，或者是以某種方式展示遺址，讓大家可以去參觀。
文化局謝仕淵局長,是，現在六甲頂的文資修復已經差不多了，接下來是整個基地的……。
主席李啓維議員,接下來，請IngayTali 穎艾達利議員發言。
IngayTali 穎艾達利議員,謝謝主席，文化局謝局長，局長，老圖片就跟文化一樣是延續的，我的資訊也都是延續的，我們從左邊看到右邊，左邊要問你什麼，就是之前所提的，如果今天我們的文資，特別是國定的或市定的文資，跟民間的機關、學校甚至企業個人的財產有重疊的部分，甚至是退縮的，就比方像這個案子，這一塊的維護管理權跟責是放在誰身上，之前有提到過是一半一半，南女把這個部分拿來做公共空間，公共空間是供臺南的市民公眾第4屆 第3次定期會 市政府業務報告及質詢 1通行之用，維護管理費用是由誰來承擔？你說應該是一起，如果按照法規來說，其實是原所有權人，但是畢竟它是國家資產，對於個人財產的退縮，總要做一些適當的調處，你說會再研究，研究到現在，是去年9 月份問的，研究到現在研究的如何？
文化局謝仕淵局長,是，因為這個問題的架構就如同剛剛議座所提到的，其實文資法對所有權跟管理單位有做清楚的界定，現在因為明年是這個城的300 歲，就是府城的整體來說……。
IngayTali 穎艾達利議員,是嗎？來，這個城是什麼城？
文化局謝仕淵局長,這個城是府城。
IngayTali 穎艾達利議員,臺灣府城嘛！幾年的？
文化局謝仕淵局長,府城，這一段確切的時間我沒這麼清楚。
IngayTali 穎艾達利議員,1788 到明年2025、2026 多少年？
文化局謝仕淵局長,200 多年，但是我是指整體來說……。
