speaker,content
主席王家貞議員,目前已達開會人數，本席宣布會議開始。市府經發局林局長、地政局陳局長、各科室主管、媒體好朋友、本會同仁及各位市民朋友，大家早，今天是四月25 日星期四，由財經部門—經濟發展局、地政局進行業務報告及質詢，今天沒有請假的單位，依議事議程我們今天上午的議程到12 時30 分，原則上不再延長，中場會在11 時休息10 分鐘，於局處業務報告完畢再開放讓各位議員按燈登記發言，報告依序是經發局、地政局，報告及介紹主管時間均以15 分鐘為原則，各局處首長在報告之前先介紹各科室主管，首先請經濟發展局林局長至報告台進行業務報告，麻煩局長，謝謝。
經濟發展局林榮川局長,(略)
主席王家貞議員,好，謝謝局長，辛苦了，謝謝。麻煩地政局局長繼續做業務報告，謝謝。
地政局陳淑美局長,(略)
主席王家貞議員,謝謝地政局，局長的報告相對來說比較讓我們印象深刻，謝謝局長。接下來麻煩議事人員宣讀發言相關規範。
主席王家貞議員,議事人員：
主席王家貞議員,依據本會議員質詢辦法第3 條第2 款第2 項規定，業務質詢時各該委員會議員優先第一輪質詢，時間均為五分鐘，第二輪則不分委員會，依議員登記順序質詢，該委員會議員之質詢時間為5 分鐘，非該委員會議員質詢時間為3 分鐘；如該委員會議員於第二輪質詢中始到場，主席應讓該議員優先於下一位質詢，時間為5 分鐘。第三輪以後，依登記順序每一位議員質詢時間均為5 分鐘。
主席王家貞議員,好，沒有意見？我們第一輪次發言請穎艾達利議員。
Ingay Tali 穎艾達利議員,"謝謝主席。經發局，這幾年經發局的業務我能注意到的範圍也有限，首先是自來水的問題，自來水的問題誠如畫面上這張表可以看到，沒有錯我們是很感謝，剛才局長報告的數字與實際數字有點小小差距，因為我們四月份有新案核定，所以我們從2011 年(民國100 年)至今年四月份我們的核定確實有一定成績，但實際上最麻煩的是我們可以看到，以目前臺南市尚無自來水地區的案件裡我們還是有很大量的地區是沒有的，包含表上橫跨的這幾個區域，我就不把工程位置詳細列出，之所以會像表上這樣分，其實也很簡單是以臺南市選區做區分，大概也可以與立委選區相對應。為什麼要講這件事？你看臺南市這些區域中總共還有55 個案300 多戶，高達4 億6,000 多萬工程費用的地方是還尚未有自來水的，在臺南這個直轄市還有300 多戶是沒有自來水可用的，而且以區域來看並不是我們想像的偏遠地區，我一直在強調絕對不是，甚至去年我們提到的永康還有一所安養院、長照機構也是還沒有自來水，只不過我們這個表計算的是生活戶而非公司或法第4屆 第3次定期會 市政府業務報告及質詢 1人戶所以才沒有列入計算，這不代表它已經裝好了。這部分到底要如何解決？前題還是我們之前講的，因為現在水利署核的部分是裝設攤提到每戶的經費必須在60 萬以下才做，對不對？"
經濟發展局林榮川局長,對。
Ingay Tali 穎艾達利議員,換句話說60 萬以下本來就是預計能做的，是不是？
經濟發展局林榮川局長,是。
Ingay Tali 穎艾達利議員,沒有錯吧，如果這樣的話，我為什麼在這裡要特別提出，因為很多民意代表，包含我們議員自己或立委都一樣，碰到一些事就說我爭取了什麼，我爭取了什麼，但實際上是如果本來就是法規、標準之下本來就該做的東西，那不叫爭取，有本事說要爭取的話應該要爭取在標準之外的東西，拿到才叫爭取。眼看著就是有這麼多戶，至今在臺南市仍受這種非人待遇，這要不要爭取？
經濟發展局林榮川局長,向議員報告，我們會儘量來爭取。
Ingay Tali 穎艾達利議員,你儘量但就是沒辦法。
經濟發展局林榮川局長,因為之前也有想其他方式並與其他單位配合去share 這些經費，將費用降低。
Ingay Tali 穎艾達利議員,我請教你，理論上我們針對60 萬以下的是否都已經處理好了？但你看這張圖…
經濟發展局林榮川局長,還有新的案。
Ingay Tali 穎艾達利議員,你看這張圖，這張圖我特別把建設成本低於60 萬的部分也列出來，在這些案子裡面有15 個案48 戶，每個案子每一區的每一戶攤提下來都低於60 萬，這些都是可以做的，當然下方膚色區塊成本低於60 萬是還未檢附接水證明的，這部分我們要如何想辦法幫其取得接水證明？而不是消極的等他們有再送過來。接水證明這個東西包含經發局、都發局甚至部分與地政局可能會有關係，臺南市政府公部門可否就這部分給予協助，讓他們可以儘早取得，就像上面第三筆，第三筆是只有一戶有檢附，其他四戶還未檢附，但實際上這些都是低於60 萬的，甚至第二筆已經低於60 萬且有接水證明但為什麼還沒辦法爭取到？對不對？
經濟發展局林榮川局長,是。
Ingay Tali 穎艾達利議員,當然有比較棘手的，我之所以會關心到其實全都因白河這幾個案子，白河大嶺、檳榔山及枕頭山的成本那麼高，有沒有辦法幫他們拿到？用什麼辦法幫他們拿到？臺南市第4屆 第3次定期會 市政府業務報告及質詢 1政府是否能cover 掉60 萬以上的部分？這該怎麼做？
經濟發展局林榮川局長,我們來找經費看要如何…
Ingay Tali 穎艾達利議員,你找很久了。
經濟發展局林榮川局長,向議員報告，因為有好幾個…
Ingay Tali 穎艾達利議員,這些都是在苦苦等候的臺南市市民。
主席王家貞議員,謝謝。李偉智議員請。
李偉智議員,謝謝主席。就教地政局陳局長，你簡報中的第6 頁、第7 頁，我想這對你來說也不是什麼新的問題，農水路我們在112 年、113 年每年這樣子做，請問一下你手上目前還未消化的農水路有幾條？第7 頁這張照片你畫得更好了，在做好後左邊和右邊的路是天壞之別。
地政局陳淑美局長,改善前與改善後的照片。
李偉智議員,對，看了真的很心動。我告訴你，你手上會勘完應該要做的，到現在能夠做的，一年內到底有沒有辦法完成二成？
地政局陳淑美局長,二成應該是有。
李偉智議員,我跟你說，可能沒有，為什麼這麼說，光我手上三年以上的案件，還是優良農地，在我們新化重劃區內很好的耕地，這裡下過雨後就變照片中這樣子，其實中間是柏油的，但兩側U 型溝做好後路面無法重鋪，你的第6 頁、第7 頁是很好，水路、農路要一起處理是對的，因為農水署經過農業部整併後其實以後的預算就我建議就不要水路做水路、農路做農路，水路做完U 型溝後兩邊各多了一米多的土地出來變成黃土，車子過去就是這樣子，機車過去就是自摔，這樣的路要怎麼走？我前二天才向經發局局長說，太陽能光電在做的速度，若農路能跟上其一半的速度，我們臺南市的農路早就做完了，為什麼農民對太陽能光電這樣的國家政策不是那麼支持，因為你們沒有做到你們應該做的事。
李偉智議員,局長，麻煩你站起來，我本來就要請你站起來了，你們綠電賣給台積電是真的不錯，你知道嗎？不要賣完後把賣電錢拿走，綠電開發第一名的臺南市卻沒有任何回饋，如果你向市長報告在我們開發綠電的同時，我們綠電只賣給臺南的台積電，這樣你做得到嗎？
