speaker,content
主席余柷青議員,目前出席人數已達法定開會人數，本席宣布會議開始。市府體育局陳局長、原民會白主委、客委會古主委、各科室主管、新聞媒體好朋友、各位同仁及市民朋友們，大家早，今天是5 月10 日星期五，由民政教育部門—體育局、原住民族事務委員會、客家事務委員會進行業務報告及質詢，今天請假官員為體育局主秘陳崇彝，因率代表隊參加日本仙台市仙台國際半程馬拉松2024 賽事。依議事議程我們今天上午的議程到12 時30分，原則上不再延長，中場會在10 時30 分及11 時30 分各休息10 分鐘，於局處業務報告完畢再開放讓各位議員按燈登記發言。接著依序由體育局、原住民族事務委員會、客家事務委員會進行業務報告，報告前先介紹各科室主管，報告時均以15 分鐘為原則，首先請體育局陳局長至報告台進行業務報告。
體育局陳良乾局長,(略)
主席余柷青議員,感謝體育局陳良乾局長。接下來請原住民事務委員會白惠蘭主委報告。
原住民族事務委員會白惠蘭主任委員,(略)
主席余柷青議員,謝謝白主委。接下來請客家事務委員會古主委報告。
客家事務委員會古秀妃主任委員,(略)
主席余柷青議員,感謝客家事務委員會古主委，同時也恭喜古主委即將入閣至中央擔任客委會主委，恭喜。現在開始按燈登記發言，在進行質詢前請議事人員宣讀質詢辦法。
主席余柷青議員,議事人員：
主席余柷青議員,依據本會議員質詢辦法第3 條第2 款第2 項規定，業務質詢時民政教育委員會議員優先第一輪質詢，時間均為五分鐘，第二輪則不分委員會，依議員登記順序質詢，民政教育委員會議員之質詢時間為5 分鐘，非民政教育委員會議員質詢時間為3 分鐘；如民政教育委員會議員於第二輪質詢中始到場，主席應讓民政教育議員優先於下一位質詢，時間為5 分鐘。第三輪以後，依登記順序每一位議員質詢時間均為5 分鐘，以上宣讀完畢。
主席余柷青議員,好，我們現在請本委員會穎艾達利議員發言。
Ingay Tali 穎艾達利議員,謝謝主席。體育局，一開始我們先針幾個較重要、與原住民較相關的案子向你請教，第一是原住民傳統射箭場的整建工程，我們確定已經4 月30 日結標了，對不對？
體育局陳良乾局長,對。
體育局陳良乾局長,第4屆 第3次定期會 市政府業務報告及質詢 2554Ingay Tali 穎艾達利議員：
體育局陳良乾局長,根據計畫是120 天的工期，什麼時候開始動工？
體育局陳良乾局長,已經動工了。
Ingay Tali 穎艾達利議員,已經動工了？科長。
運動設施科許德安科長,向議員報告，現在正在訂約中、辦保險、報空汙費，預計在下個禮拜可以正式動工。
Ingay Tali 穎艾達利議員,局長，記住了，以後不要隨便回答，什麼叫已經開始動工，機具、人員進場了才叫動工，所以剛才科長說得對，麻煩科長注意一下，之前有交代了，動工之後第一件事是什麼？
運動設施科許德安科長,議員有交代先立告示牌。
Ingay Tali 穎艾達利議員,先把告示牌立起來，省得又有一堆人在那裡風言風語說我們臺南市政府及議員搞這個東西好像當成自己的囊中物一樣瞎搞，告示牌立出來讓人家知道我們什麼時候要做什麼工程、要做多久，清清楚楚的，好不好？
運動設施科許德安科長,好。
Ingay Tali 穎艾達利議員,這件很謝謝你們的幫忙，你請坐。
運動設施科許德安科長,謝謝議員。
