speaker,content
主席李啓維議員,開始開會，今天下午議程為專案報告，向大會報告，因政黨協商會議原本表定下午1時30分的議程延遲了十幾分鐘。本會同仁、市府葉副市長、文化局謝局長、觀旅局林局長、環保局許局長、衛生局李局長、教育局鄭局長、新聞處蘇處長、民政局姜局長、交通局王局長、經發局林局長、都發局徐局長、農業局陳代局長、水利局邱局長、體育局陳局長、原民會白主委、客委會陳主委、研考會蒙主委、智發中心陳主任、各科室主管及新聞媒體好朋友，大家好。今天是11月25日星期一，現在進行議程「2024臺南400期中成果報告暨2025府城建城300規劃報告」專案報告，由於10月分提供的檔案稍有修正，最新簡報資料已經放置在各議員桌上，大家請參閱藍色這本。我們先進行專案報告，再由各位同仁登記發言，每位議員發言以5分鐘為原則，請問各位同仁有沒有意見？因穎艾達利議員為專案報告提案人，所以第一輪次增加5分鐘發言時間，共有10分鐘發言，先做說明，因手語老師需要休息所以議程每進行50分鐘休息10分鐘，現在請文化局謝局長進行專案報告。
文化局謝仕淵局長,(略)
主席李啓維議員,謝謝謝局長的報告，現在我們開始登記發言。首先請李宗翰議員發言。
李宗翰議員,謝謝主席。局長、副市長及各位局處首長，其實我對於臺南400的想法是這樣，今年我們應該已經籌措到非常多經費來展現各種活動可以發展出怎麼樣的潛力，我本預期的是將原本潛力沒有那麼足夠的活動調節一下，做一個蹲下來的概念，在我們大肆伸展後，明年是修整的時期，把我們省下來的預算投入新活動上。畢竟有些活動一而再、再而三的辦大家就會覺得似乎只有這樣子，所以我原本的期待是如此。但後來又聽到市府喊出府城300，這樣會有一種今年已經辦了非常多活動，明年還要想辦法在牛棚精銳盡出後再撐一輪的感覺，我不知道局長自己是否也有這樣的感覺？
文化局謝仕淵局長,向議員報告，臺南400確實是長時間對府城的回顧，它一定程度包含了府城300，所以我很認同剛才議員所說的，這二個議題必須要區隔，有一些是府城300值得去填補的，例如我自己覺得府城300中一些我們長期經營的場域可以藉由府城300的新觀點去重新策展，因為一個展覽撤了之後我們都可以放五年、十年，我覺得這是站在這二年時間長度中我們所做的調配，至於重覆的活動，在臺南400中有些活動如您剛才所說能量不足，我們可以重新再來操演一下，若是很成功的活動如二年一次的南瀛民俗藝術節，這次有些部分比過去好，包含大戲…
李宗翰議員,是，我覺得那辦得滿優秀的。
文化局謝仕淵局長,這就提供我們之後執行上很好的經驗，這是從臺南400的執行當中所得到的收獲。
李宗翰議員,我的核心是這樣，你今年拿到比較多經費，所以在規劃上及執行上理論會表現得更優秀，但明年還有這麼多錢嗎？其實我是有點擔心，在沒有這麼多錢的情況下你又喊出一個主題，變成民眾對這件事還是有期待，雖然臺南400更久遠所以以100分作為期待值，300年就打個八折80分為期待值，但你們預算若沒有拿到八成那就卡住了，到時候臺南400就這樣，府城300還是不太在意，二個活動交叉後變成很難做事的一年。所以我對明年是擔憂的，你連續接二個號稱百年大計的活動，接下來要提的時候預算又是有限，所以我的判斷是在這件事情上你們必須做得更加精準，假設臺南400是整個面都打，則府城300就要很精準地傳達你們想做什麼樣的東西，若沒有在特定地方做出明確的亮點大家會覺得它是一個縮小型的臺南400，這樣會變成四不像，甚至你們之後想堆積活動，好不容易在臺南400裡看到一些較有機會的活動如新聲代、國際藝術節等很好的活動，還有很多活動包含月津港、天鵝湖等，但你們的人已經疲於奔命在辦下一次的活動，根本沒有把過去好的一年的成果累積下來準備做蹲下躍起的動作，我覺得這樣非常可惜，所以還是麻煩局長再思考一下人力、物力、心力，定調的部分也請整個局處再多思考一下，不是只有文化局的工作，可能問一下副市長有沒有其他想法？
葉副澤山市長,謝謝議員，其實臺南400和建城300的概念上還是不太一樣。
李宗翰議員,是，當然。
