speaker,content
主席余祝青議員,目前出席已達開會人數，本席宣布會議開始，市府教育局鄭局長、人事處游處長、秘書處劉代理處長、各科室主管以及新聞媒體好朋友，本會各位議員同仁、市民朋友們大家早，今天是10月14日星期一，議程為民政教育部門業務報告及質詢－教育局、人事處、秘書處。今日應列席官員沒有人員請假，依照議事日程，我們上午的議程到12點30分，原則上不再延長，中場會在10點30分及11點30分各休息10分鐘，於局處業務報告完畢再開放讓各位議員按燈登記發言，接著依序由教育局、人事處、秘書處進行業務報告，報告前先介紹各科室主管，報告時間均以15分鐘為原則，首先請教育局鄭局長至報告台進行業務報告。
教育局鄭新輝局長,(略)
主席余祝青議員,謝謝教育局鄭局長，接下來請人事處游處長報告。
人事處游梅子處長,(略)
主席余祝青議員,謝謝人事處游處長的報告，接下來請秘書處劉代理處長報告。
秘書處劉啓崇代理處長,(略)
主席余祝青議員,謝謝秘書處劉代理處長的報告，現在開始按燈登記發言，在進行質詢前先請議事人員宣讀質詢辦法。
主席余祝青議員,議事人員：
主席余祝青議員,依據本會議員質詢辦法第3條第2項第2款規定，民政教育委員會議員優先第一輪質詢，時間均為5分鐘，第二輪則不分委員會，依議員登記順序質詢，民政教育委員會議員質詢時間為5分鐘，非民政教育委員會議員質詢時間為3分鐘；如民政教育委員會議員於第二輪質詢中到場，主席應讓該議員優先下一位質詢，時間為5分鐘。第三輪以後依登記順序，每一位議員質詢時間均為5分鐘，宣讀完畢。
主席余祝青議員,現在請穎艾達利議員發言。
Ingay Tali穎艾達利議員,謝謝主席，教育局鄭局長。
教育局鄭新輝局長,議員好。
Ingay Tali穎艾達利議員,局長，你們的報告第一頁說教育的願景是要迎向未來、點亮每個孩子心中的希望，這個點亮是什麼意思？每個孩子又是什麼意思？我們是不是有擇亮而點的問題？嘴巴都講說點亮每個孩子，可是好像是哪邊的孩子比較多，點了有人看到，我們就點這邊的燈；又或者是說燈是要越多人被點著了，會越亮、越被看到，所以比較偏門、偏邊的孩子如果只有一個、兩個，他們也是很希望被點亮啊！你的報告裡面第三頁有講到平價優質教保服務，提到要調高公幼的午餐跟點心費，這很好，但是調高的是營養午餐的費用，營養午餐的人力有沒有調高？不知道！延長照顧到6點，家長接送不用趕，誰來照顧？老師來照顧！老師是不是家長？老師又可能也是家長，那老師的孩子誰來照顧？我們今天去收了一大堆東西，真的就把自己這個教育專業當成是教育服務業嗎?我們不是補習班、不是安親班，對不對？這些東西都沒有做。
Ingay Tali穎艾達利議員,我先講第一個問題，上一次5月30日定期會的教育局詢答時，本席花了至少兩次的詢答時間跟局長交流請益有關於學校營養師不足這個問題，Powerpoint是按照上次的，提到特別是在沒有營養師的狀況之下，營養午餐的執行秘書要去承擔、承接這些所有的工作，而在這些學校當中沒有用40班這個基準來算，在40班這個額度之下、未滿40班的學校的孩子，他營養午餐手上的那盞燈誰來幫他點亮？而且那時還特別問你們是不是應該去追？因為有很多的規矩都是用40做一個界線，40這一個數字的來源、歷史脈絡是為什麼？今天已經高齡少子化了，每班的學生數不一樣，是不是還有必要用40班來做計算？這件事也麻煩去追。5月30日過去到現在幾天了？五個月過去了，這件案子沒有在教育局錄案，沒有任何人回覆我怎麼去做處理進度，怎麼去改善教育局口口聲聲說因為中央有準備定一個辦法，就這一句話有在當時的議場裡提出來，事後一張書面、白紙黑字都沒有，準備怎麼處理40班以下的營養師問題？怎麼處理這些學校的執行秘書必須同時承擔學校老師的這個問題？甚至到底所謂的40班排除了幼稚園的部分，這些東西的合理性還有怎麼健全整個營養師的制度，怎麼去遊說？你一句話都沒有講，局長，這個不像你，你們應該都會錄案啊！
教育局鄭新輝局長,是，這個問題其實還蠻多的，點亮這個基本是在每一個孩子，以個別的孩子來講，其實教育心理資本論，每個孩子如果沒有自信，他以後的學習是沒有機會。
Ingay Tali穎艾達利議員,您這一套我在審計報告已經見識過了，問A答B，我現在就講營養師這個問題，第一個，為什麼不回？為什麼沒有錄案？
教育局鄭新輝局長,營養師的部分跟議座報告，法令規定當然是40班以上，可是我們盡可能合在一起用。
Ingay Tali穎艾達利議員,你怎麼樣的盡可能?上面你是怎麼做的我都有列出來，一個數字都沒有變動，針對以下部分怎麼做處理？目前營養師的人力在什麼地方？完全沒有任何的回覆，換句話說，你上次根本就沒有錄案嘛！
主席余祝青議員,請朱正軒議員發言。
