speaker,content
主席,（蔡議員育輝）
主席,今天凱米颱風的專案報告，因為出席人數未達到法定開會人數，我們先休息5 分鐘。
主席,（蔡議員育輝）
主席,因為現在有達到法定人數，議員都很重視，因為車程的關係陸續會來，所以為了節省時間，請水利局邱局長先報告，以節省時間，請。
水利局邱忠川局長,（略）
主席,（郭議員鴻儀）
主席,局長，今天的專案報告，各局處都在這裡，而且各局處專案報告的內容都很多。你這邊已經用了30 分鐘，我徵求在場議員的意見，是不是再給其他局處一些時間，把重要的內容向各位議員們報告。否則現在水利局報告完之後，後面還有一半，可能還要花30分鐘，是不是用10 分鐘的時間，給各局處補充報告？還是有其他意見？蔡育輝議員。
蔡育輝議員,"我想水利局30 分應該可以了，因為很多局處，我們建議，百姓關心的是後續要怎麼處理。重大賑災基金剩下14 億5,000 萬元，市政府全部才拿出5,000 萬，包括交通局的補助。所以我建議讓社會局報告5 分鐘。"
主席郭鴻儀議員,有沒有需要再做補充報告的其他局處？其他議員有沒有意見？
蔡育輝議員,主席說的10 分鐘我不反對。
主席郭鴻儀議員,幾分鐘我們一起做個決定，不一定是10 分鐘，尤榮智議員。
尤榮智議員,主席，剛剛水利局說得很清楚了，報告也做得很好，你報告的我們都知道，結語的部分就看下次水利局要怎麼處理了。還有一點，等一下社會局、農業局都會報告嘛！應該重點報告就可以了，不用逐頁說。
主席郭鴻儀議員,好，是不是這樣子，等一下比較重點的局處，包括社會局跟農業局，災損比較嚴重。
主席郭鴻儀議員,其他像是消防局及其他單位，書面報告也很清楚了。我在此也提醒市政府，以後有類似這樣的專案報告，希望你們整合好，由一位上來代表做簡報，否則會有這樣的狀況，其實各局處這樣報告，就算1 個小時也不一定足夠，現在再給10 分鐘還是多少時間？農業局跟社會局各5 分鐘嗎？
蔡育輝議員,這是我跟尤榮智議員的看法，別的議員我們尊重他。
主席郭鴻儀議員,第4屆 第6次臨時會 專案報告詢答 21其他議員有沒有意見？肇輝議員？家鳳議員有沒有意見？穎艾議員？我想這樣子，就讓社會局跟農業局各增加10 分鐘好不好？水利局長，其他的那些結論，我們自己看就好了，書面報告做得很好，等一下先請農業局做簡單的簡報，10 分鐘，不要超過，謝謝。
主席郭鴻儀議員,因為今天有手語老師，50 分鐘必須要休息10 分鐘，所以請各局處簡報時儘快，不要讓手語老師太累。
農業局李建裕局長,（略）
主席郭鴻儀議員,謝謝農業局局長的報告，接下來請社會局做專案報告的簡報。
社會局盧禹璁局長,（略）
主席郭鴻儀議員,謝謝社會局長的報告，因為現在時間已經超過50 分鐘，讓手語老師休息10 分鐘。
主席郭鴻儀議員,發言時間不分輪次，每次發言3 分鐘，提案人第一輪次增加5 分鐘，請問各位同仁有沒有意見？沒有意見，通過！今天專案報告是由蔡育輝議員、李中岑議員、吳禹寰議員共同提案發起，經過3 位提案人協調，由前兩位按燈發言第一輪次時間增加5 分鐘，原則上以兩人為限，如果超過兩人，請提案人自行協調。今天因為有手語老師，我們還是一樣50 分鐘休息10 分鐘為原則，現在請各位同仁按燈登記發言，現在休息10 分鐘。
主席郭鴻儀議員,請各位官員就坐，現在開始開會，請尤榮智議員第一輪次發言。
尤榮智議員,感謝主席，副市長、在座的各局處首長、各位議員先進，今天是凱米颱風的專案報告，我相信溪北淹水的地方，大家都非常關心為什麼淹得這麼嚴重？曾文區有一個大排、六甲菁埔埤塘，再來是下營大排、麻豆大排跟將軍溪。我那天去看，下營大排溢流非常嚴重，北面溪頭這邊沒淹水，那邊還有埤塘，這邊淹成像照片上那樣。人家說有電線桿就是有路，這邊都沒有路了，你看看，真的很嚴重。我那天為了去勘災，七、八點自中營過去，從堤防那邊要上來，看到水從堤防淹起來了，我就迴轉倒退，我的車牌不見了，幸好隔天去找有找到。意思是這是非常嚴重的事情，雖然前一次多了兩臺抽水機，但不夠力，為什麼這樣說呢？地方表示，好幾年來都是這個情形，難道我們不能改善嗎？我剛剛說過，從菁埔埤塘、下營大排，再來麻豆大排，最後排往將軍溪。只要颱風、大水來就漲潮，所以我的建議是，明年我們的錢會很多，將軍溪靠近海的那邊做一個大型的水閘門，把抽水機做大臺一點，如果漲潮的話，我們把閘門關起來，把水抽出來；如果颱風來了，我們直接把水抽出去。把水抽出去，可以加速解決菁埔埤還有下營大排、麻豆大排這邊的問題，這是很重要的事情，我希望局長你要特別關心這一點，因為我們會覺得抽水機不足，這個你再會勘一下，如何讓水能夠抽出去，不然百姓怨聲四起。還有蘭花園，你看連蘭花園都淹水了。農損方面，當然農業局跟政府要幫我們處理，這是很重要的事情，該報上去的，我們不用會勘吧？區公所報上去，農糧署絕對會同意，我認為這個一定要做好，讓每一個市民被淹到的，不能再發生。尤其是曾文溪，曾文水庫洩第4屆 第6次臨時會 專案報告詢答 22洪後淹到大內，再來是官田渡仔頭，接著就是麻豆、中營，一直到將軍區那邊，所以我們要建立一個非常好的機制，把它處理好。
郭鴻儀議員,感謝尤榮智議員，接下來請蔡育輝議員發言，時間8 分鐘。
蔡育輝議員,主席你違反昨天的協議。邱局長我建議你，天降巨雨超過防洪標準那些就不用再說了，你每次來就先說那些，大家聽不進去。副市長，第一點，市長同意了，八掌溪潰堤後要做什麼，補土堤。臺南市主管的165 條土堤沒有經費可做，市長答應分年編列預算，不然要蓋捷運的話，我絕對每一場都要抗爭。你要蓋捷運，你們開賓士的沒關係，我們這邊基本生命財產的確保，你要每年編一些經費來做，不能都說沒錢。市政府說要跟中央爭取，我說的是市政府要自己編列，你知道意思吧？你不要沒編列，今年開始如果不編列的話，我每天都清點人數。你如果要蓋捷運，我不管仁德、歸仁，你們就去發展你們的，捷運是虧錢的，審計處說我們要發公債，我跟你保證沒人跟你買公債，我們的利息比銀行還低，誰要買我們的公債？民主政治的運作，被你們弄到破產，你要記得，主席幫我記住這條，要逐年編列經費改善土堤。我都說白的，我這個人說話有信用的，你如果不編列，以後要做捷運、鐵路高架化等等的都不用說。
葉副澤山市長,跟議員報告，市長非常重視，像這個土堤已經搶修好了。
蔡育輝議員,"這是我的第一項建議，我有認真蒐集資料給予建議。第二點是什麼？抗爭。便當搞到兩個區公所被抗爭，為什麼發生這種事情？你們缺少同理心，因為八掌溪潰堤，水淹後壁跟鹽水，這些災民沒辦法出門去買便當，有時候沒水沒電的，吃一個便當我覺得不過分，有人覺得可能不方便，希望能多發一點給里民。有的是上午沒發，下午發，大家不滿意，所以是不是要訂個什麼，我說是民政局，民政局說是社會局。副市長，訂一個標準，每次天然災害，我覺得每區、每里都會為了便當的問題爭論不休，便當的問題很多，是大學問，我對消防局最不滿意的是什麼？我們只救人，沒有在送便當。公所沒什麼設備，軍方也沒在送，這樣要叫誰送呢？大家都是有限的，不是有便當就有辦法送，有時還做不出來。民政局、社會局跟市政府，我當民意代表幾十年來，這個問題沒辦法解決，每次天然災害時，大家都在抱怨沒便當可以吃，有的人3 天沒便當可以吃，你也毫不在意。有的離公所200 公尺的，你們也沒有送，消防局也不派消防車去送便當，我覺得沒有道理。第三點做個參考，市政府剩下多少你知道嗎？我們的賑災基金0206 善款14 億5,000 萬，說不定是我說錯了，你們統計的，0206 的賑災基金剩下14 億5,000 萬，你這次只拿5,000 萬出來補助，我覺得不合理，這個你們知道吧？"
葉副澤山市長,跟議員報告，2 億多，不是1 億多。
蔡育輝議員,我看的是你們的資料。
葉副澤山市長,資料一直在更新。
葉副澤山市長,第4屆 第6次臨時會 專案報告詢答 23蔡議員育輝：
葉副澤山市長,"沒關係，我不對，我覺得我們讓你們通過移轉這個賑災基金，本來0206 的善款14億5,000 萬。你說拿出二億多，卻計較一個便當，市長的形象重大受損，現在外面都在罵市長，捨不得讓人吃便當。"
葉副澤山市長,不會。
蔡育輝議員,這是你說的，我不會騙你。
葉副澤山市長,政府不會計較便當的。
蔡育輝議員,外面大家都在說便當，你們就沒有把便當的問題處理好，所以我說便當是大學問，沒有那麼簡單對不對。最後一點，因為我時間有限，有可能今天說兩次而已，我跟穎艾達利從9 點多就來這邊坐，我們要怎麼分工？我剩8 分鐘，你跟議員最大的爭議就是都要跟議員搶時間，議員可以說的有的只有3 分鐘而已，你如果又站起來說，你會被罵死。
蔡育輝議員,要怎麼分工呢？國軍只清大路，小路不清。消防局救人不救災，公所沒有設備，又沒有便當。你們的供應鏈找不出來，你知道吧？針對這個問題，說真的，你乾脆請我來成立一個便當局，我來當局長，天然災害的話，我來發。平常新營如果發生水災，就會從鹽水、柳營找好店家，我覺得你們到現在可能都不是很認真在找，出事了便當來不及做，做好了也送不出來，你知道嗎？
葉副澤山市長,供應鏈的部分，其實這次我們也是從各區調，時間太短了，從每一區調過去到那邊，發送的時間絕對會延長，所以難免有的人會比較晚拿到。
蔡育輝議員,今天如果便當發得出來，就是你們厲害，不然你現在成立一個局，叫做臺南市便當發放局，我來當局長，議員不當，便當我來統籌處理。20 幾年來都沒有一次解決過便當的問題，災民沒得吃，有的3 天、有的4 天沒水，你們也覺得不要緊，現在全國都在說市長便當的事，其實他是好意。後壁區長要調走，鹽水也被人抗爭了，我覺得你們要好好討論便當的問題。我請教消防局，你們的原則是救人，不發便當對吧？
消防局李明峯局長,有啊！我們這次也有發了很多。
蔡育輝議員,那是你們講的，我有打過電話，後壁出事情，11 點我又打一次電話，你們說你們的原則就是救人，沒在送便當。
消防局李明峯局長,是在當下很急要救人的時候。
蔡育輝議員,你請坐。民政局長，各區公所有什麼發放便當的設備嗎？
民政局姜淋煌局長,第4屆 第6次臨時會 專案報告詢答 24其實區公所第一時間就是救災。
蔡育輝議員,我問你，你要照我問的回應，你告訴我各區公所遇天然災害，淹水很深的時候，要怎麼發便當，你有沒有設備？
民政局姜淋煌局長,沒有，怎麼會有什麼設備。
蔡育輝議員,好，沒有設備就好，你坐下。副市長你聽到了吧？遇到事情後，公所要怎麼發便當？
蔡育輝議員,沒有設備，也沒有救生艇，一項也沒有，要叫消防局的時候……
葉副澤山市長,消防局那段時間要救人，當然是救人為先，他們也有幫忙送便當，只是優先順序。
蔡育輝議員,便當可能是這樣，我說給你當參考。可能是蔡育輝議員、沈家鳳議員還是李宗翰議員說我們要去救災，跟你們一起出去，派消防局一個救生艇一起去，一般百姓你們會幫他送便當嗎？如果沒有市長指示、各局處首長指示，我跟你說，沒有，你不要騙我，我二十多年都在這裡。
葉副澤山市長,26 日我也有去鹽水、後壁。
