speaker,content
主席,（陳碧玉）
主席,森霸電廠二期建廠工程及儲能廠設置專案報告，現在已達開會人數，本席宣布會議開始。方秘書長、經發局林局長、環保局許局長、水利局邱局長、民政局姜局長、消防局李局長、都發局徐局長、工務局陳代理局長、政風處高處長、法治處楊代理處長、各科室主管、新聞媒體好朋友、本會各位同仁，及網路前收看的鄉親大家好，今天是9 月25 日星期一，上午進行的議程是森霸電廠二期建廠工程及儲能廠設置之專案報告，現在請經發局林局長至報告台進行專案報告，請林局長。
經濟發展局林榮川局長,（業務報告）
主席,（陳碧玉）
主席,謝謝林局長，請回座。徵求大會同意，今天發言時間不分輪次，每次發言3 分鐘，請問各位同仁有沒有意見？
李偉智議員,因為目前議場裡面的同事還沒有太多，是不是在15 人以內的話，暫時以一個人5 分鐘來發言，這樣才可以做延續性的答辯。
主席,（陳碧玉）
主席,現在第一輪次發言，15 人之內的話就先暫時以5 分鐘為原則，現在李偉智議員提議這樣，有Ingay Tali 議員附議，還要徵求一位議員附議，謝謝。15 人之內就以5 分鐘，超過15 人的話就改為3 分鐘，各位同仁有沒有意見？沒有意見。向大會報告，今天的專案報告議程是由蔡育輝議員、陳碧玉議員、李偉智議員、余柷青議員等4 位議員口頭提起，第3 屆第8 次大會的決議專案報告的時間，於第一輪次給予提案人增加5 分鐘的發言時間，原則上是以2 人為限，如果超過2 人的話，就由提議人自行協調，現在因為蔡育輝議員還沒來，所以我們現在4 位議員第一輪的發言時間共有22 分鐘，平均每一位議員發言時間5 分30 秒，這樣大家有沒有意見？公平起見，大家有沒有意見？沒有意見，提案人就是5 分30 秒。向大會報告，今天的專案報告有手語翻譯員協助翻譯，所以每50分鐘需要休息10 分鐘，今天現場的旁聽席來了山上區森霸電廠自救會的成員，到現場旁聽跟關心，現在我們用熱烈的掌聲給予歡迎，謝謝大家。現在請各位同仁按燈登記發言，李偉智議員。
李偉智議員,謝謝主席，首先就教剛剛報告的經發局局長。局長，這麼大的開發案子，我們都知道是為了讓臺南產業能夠發展，但是你剛剛報告，從第4 頁來看，時程表111 年的8 月5 日施工許可到現在，我請教一下，目前在座的各位局長，到過工地的，麻煩舉個手，只有環保局長，其他都沒有。如果臺南市政府很重視這一個開發案件，包含經發局林局長有去過現場，這麼多的局處只有兩個局長去現場關心這個開發案對地方造成的影響，像話嗎？臺南市政府到底有多重視這個案件？要不是地方居民把他們的心聲說給我們聽，我們這麼冷漠，一直再三抗爭，前兩天開議的時候來到議會，來表達他們的心聲，遞了陳情書給秘書長、議長。經發局長請坐，請問環保局長，我覺得一講再講，居民說的就第4屆 第2次定期會 專案報告詢答  2845是環境，今天不管是空屋還是水土保持，以及現場影響鄰近居民的生活，我請教一下，這個案件的環評，環保局有沒有去列席過？
環境保護局許仁澤局長,有。
李偉智議員,從環評核定之後，有沒有聽過他有提出環境差異影響評估？
環境保護局許仁澤局長,有，他有提出。
李偉智議員,有提出，那為什麼這個報告都沒有看到？環境影響評估裡面，環保局手上掌握的資料有幾項？變更的項目？
環境保護局許仁澤局長,基本上是一期變更。
李偉智議員,我知道一期有變更，我現在說二期，現在二期蓋下去讓村莊亂七八糟，整個村莊的水土保持維持的有多辛苦，我等一下給你們看照片。
環境保護局許仁澤局長,二期前面的設置許可通過了。
李偉智議員,我知道，這邊有寫。
環境保護局許仁澤局長,操作許可還在送件而已。
李偉智議員,操作許可？環境影響評估裡面，針對建廠差異的部分，你有沒有審過環境差異影響評估？你有審到嗎？
環境保護局許仁澤局長,應該是不到差異。
李偉智議員,你知道建物造成的變化有多大？環差法36 條、37 條怎麼寫的？局長，你要不要唸一下？如果照當初申請的建照，因為配置，甚至容量、功能性有所差異變化的話，就必須全部送審，這點有沒有？
環境保護局許仁澤局長,應該是環說差異的說明。
李偉智議員,不是，那個不是說明，不能用備查，你知道嗎？像那天在公所說的，本來兩支大管裡面4 支套管，現在4 支套管都不見了。
環境保護局許仁澤局長,對，集合煙囪。
李偉智議員,第4屆 第2次定期會 專案報告詢答  2846對，我們很重視排煙、廢氣問題，我在上次第3 屆市議員第1 次定期大會就提出了，他製造的一氧化碳，連整個臺南市用的天然瓦斯都沒那麼多，現在兩支變成一支，4 支變成剩兩支而已，高度呢？揚塵排放的範圍到底會不會變小，這種你不用做環境差異影響評估嗎？
環境保護局許仁澤局長,跟議座報告，集合煙囪基本上是。
李偉智議員,沒關係，我現在說的只是一個例子而已，包含內部設置的建物，還有發電操作室等等，一些發電設施都不一樣，這個表格你手上有沒有？你現在跟我說你在審他的操作許可，環差都沒有審？我問你這個案子，第二期有沒有審過環差？你回答我這個問題。
環境保護局許仁澤局長,因為是環說，現在到達環說的程度。
李偉智議員,如果差異的部分有沒有要審？
環境保護局許仁澤局長,當然我們要參與。
李偉智議員,有審到嗎？
環境保護局許仁澤局長,如果是設備的功能，可能其他的單位也要一起來。
李偉智議員,其他單位連去現場看都沒有，我等一下一局一局問，這實在太離譜了，包含消防、水土保持都沒有去現場看過，消防設施的部分，局長你可能要想一下，如果110 萬瓩的發電，加上第一期90 萬瓩，總共200 萬瓩，200 萬瓩如果爆炸的話，要有多少消防能量，你等一下先做功課，可能其他議員也會問你，你先準備資料。局長，我現在要說的是，等一下請你馬上去調查，他這一次提出的建照，包含變更的建築物、排煙管，這些範圍的變化有多大，你再依據環評法36 條、37 條跟我說要不要做差異影響評估，如果要的話，你們有沒有做？請坐。水利局長，邱局長，你比較辛苦，那天農業局不知道有沒有來，農業局的水土保持，二期緊鄰大庄社區，我跟你說，他們相差沒有幾十公尺，要做對外的排水管，整個泥土流到台糖地、台糖地又流到社區，現在全部的農民都無法走那邊的路，所有的農路已經變成泥漿路，厚厚的一層泥漿只要下雨就流下來，那是臺南市政府要去清理的馬路，好幾百公尺，如果沒清的話，下雨又變成泥濘，會勘之後台糖說他們也沒能力做擋土牆，台糖說這句話，水土保持比較高的地方是森霸、再下來是台糖、再下來是村莊，最慘的都是村莊承受，你也好心一點去看整個水土保持的設施，剛才說的這些計畫真的是很諷刺，水保設施什麼幾年幾月核定過了，我等一下再把資料補上去，到底這些國營事業，不管股東裡面百分之幾是台糖，百分之幾是台電，百分之四十是民間，就這樣20、40、40、80，全部分配掉了，然後對地方的道路造成這麼大的影響，說一句沒有財力做這些擋土牆、水土保持，你看要不要開罰？我現在跟你說的，你看要不要去開罰，如果水土保持設施一直都不做的話，造成農路泥濘卻要全民納稅人去買單修第4屆 第2次定期會 專案報告詢答  2847理、清理農路，你看這筆錢公所會花嗎？你看我會允許他們花嗎？沒有那種事情。
主席,（陳碧玉）
主席,謝謝李偉智議員，跟大會報告，因為剛才的決議是議場內15 人以下的話，每人發言5 分鐘，現在議場包含李偉智議員、陳皇宇議員現在已經超過15 人，16 人了，所以現在開始除了提案人之外，每人發言以3 分鐘為原則，請李文俊議員發言3 分鐘。
李文俊議員,這樣有點偷吃步，沒關係。
主席,（陳碧玉）
主席,沒辦法，因為太多人按燈了。
