speaker,content
主席楊中成議員,現在開始進行今日的公聽會，首先本席要向各位介紹市府各單位、本會同仁以及議會人員，媒體好朋友們大家好，今天是113 年3 月26 日星期二，本會召開「臺南市騎樓管理使用自治條例」草案公聽會，歡迎本會、與會人員大家一起來關心，今日的發言內容將提供給法規委員日後於審查本案時參考，今日出席議員有Ingay Tali穎艾達利議員、蔡筱薇議員、周嘉韋議員、周麗津議員、李宗霖議員、朱正軒議員、曾之婕議員秘書、沈震東議員秘書、李鎮國議員秘書、林依婷議員秘書、王家貞議員秘書、黄肇輝議員、黃麗招議員、曾培雅議員的兒子歐秘書，還有哪位議員同仁沒有介紹到的嗎？沒有，好，我們現在來介紹今日與會的專家學者，社團法人臺南市建築師公會顏士哲副理事長、義守大學企業管理學系楊東震副教授、成功大學都市計畫學系李子璋副教授，臺南市政府出席的官員有工務局、警察局、交通局、經濟發展局、法制處等單位代表，出席的民間團體有社團法人臺南市無障礙協會、臺南社區大學(綠交通研究社)、社團法人臺南市台南新芽協會等單位代表，還有來自臺南市各區里的里長以及市民們，歡迎大家一起來參與並關心此議題，在場有很多來自永康區的里長，有中興里楊家銘里長、二王里謝文奇里長、復興里吳秋明里長、成功里曾文俊里長，還有洪里長及一些認識的熟面孔，如果有沒介紹到的，跟各位道歉。今日的會議規則為發言者於第一次響鈴時剩下1 分鐘，第二次響鈴請停止發言。本案提案議員有周嘉韋議員、林依婷議員、蔡筱薇議員、李宗翰議員、朱正軒議員、郭鴻儀議員，有六位議員共同提案，接下來請周嘉韋議員代表說明「臺南市騎樓管理使用自治條例」草案及制定原由，時間5 分鐘，周議員請。
周嘉韋議員,感謝主席，也感謝今天我們所有參與的里長跟我們議員同仁，及許多公民團體，本席這一次提案這個案子，其實是與許多議員一起討論之後決定提出，當然我們也回應了許多不管是里長或地方民眾大家的期待，所以我們去提出這個提案。
周嘉韋議員,在講這個提案之前，我先講一個許多議員一直在討論的一個概念，很多人都喜歡問我們臺南市目前的現況如何，以及我們應該要怎麼改變，但是我都會跟大家說：
周嘉韋議員,臺南之所會形成今天的樣貌，第一是多數決，第二是大家多年以來的努力，所以臺南才能長成這個模樣，如果我們希望臺南未來能夠更好、能夠有所改變，我們還是要藉著多數人的決定才能促成此事，騎樓管理使用的這個問題，希望能藉著各位里長、里民，包括我們的公民團體一起來討論這個議案，期許未來在騎樓的使用上，能夠更加明確，也讓行政單位在執法時，能夠更加明確，當然這個法規在推動初期，一定會受到相當大的討論，因為這是一個衝突的開始，為什麼是會是衝突的開始？我相信大家都知道騎樓應該是屬於私有財產，但是這個私有財產當年在設計時，它有一個社會責任的義務，就是要讓大家可以順利通行，要讓大家都可以行走，這也經過大法官解釋，在釋字第564 號大法官解釋理由書「騎樓通道建造係為供公眾通行之用」，但是今天我們要來處理這件事情，就是說讓財產權跟財產權的社會義務可以做一個平衡。
周嘉韋議員,為什麼可以做一個平衡？就是希望除了讓大家通行以外的空間外，我們是不是要還給土地所有權人，讓他可以自己來使用？我覺得這是今天這個法案最大的重點，第4屆 第3次定期會 會議紀錄 3071我們再白話一點講，就是說除了留給大家行走的空間外，騎樓的範圍這麼大，一定不會用到整個騎樓，在這樣的情況下，我們是不是能夠把騎樓通行的空間劃出來？把騎樓沒有到必要被留下來做公眾通行的空間劃出來，兩個區塊分開來之後，把通行的部分留給公眾使用，剩下的部分留給民眾自己使用，一旦我們可以把這樣的規範寫得夠清楚，未來大家在騎樓的使用上，就比較不會有執法上的焦慮跟憂慮，現場一看就能夠很清楚。
周嘉韋議員,如果騎樓堆放到無法通行，就會顯得很明顯，但是如果騎樓在供行人通行外，其他的空間你要使用，因為地主是土地所有權人，就應該還給地主使用，其實今天提出的這個議案，有許多議員都很積極的在跟我反映這個問題，一起提案的議員有蔡筱薇議員、朱正軒議員、林依婷議員、李宗翰議員跟郭鴻儀議員，以及經過解釋後，所有的聯署議員，包含今天也有到現場的黄肇輝議員、黃麗招議員也都非常關心這個議題，所以大家一起來提案、來連署，當然我們也希望今天大家都能理性的來討論，希望里長能夠把在社區中遇到的問題提出來，民意之所以由我們作為代表，就是希望要有大家的民意，我們希望每位里長，都能將遇到的狀況提出來，讓大家一起來討論，當然我也知道有公民團體，對這個議案有一些想法，我們也希望大家都能將想法提出來，理性的來討論，希望讓這個議案，能夠繼續走下去，感謝大家。
主席楊中成議員,以上為我們提案的議員代表的說明，繼續進行專家學者報告，請直接按燈。首先請社團法人臺南市建築師公會顏士哲副理事長發言，時間10 分鐘。
主席楊中成議員,社團法人臺南市建築師公會顏副理事長士哲：
主席楊中成議員,主席好，各位長官、各位專家學者、各位關心本議題的大朋友、小朋友們大家好，大家早，本人代表臺南市建築師工會跟大家報告。我有幾點看法，不好意思，我就坐在講，因為我是老人，比較看不清楚。
主席楊中成議員,我有三點看法，第一點，我們的騎樓土地屬私人所有，這是大家都知道的，這塊土地就是我的，但是因為在使用上需要讓公眾、民眾去通行，負有公益使用的社會義務，所以我們把它劃出來，但是在私權跟公益之間常發生衝突，因為有時在騎樓走路會走到跌倒，或者是發生必須繞道的狀況，這些問題大家都知道，所以今天在議會有看到這一點，才會提出來，要來做出衝突的整合，讓土地的使用人與通行人，在公益與私利間可以做一個完整的整合，我覺得這就是一個在時代的進步中，很好的一個看法，值得大家來肯定。
